Sequence,Location,Element Length,Strand,LTR-similarity,5'LTR_pos,5'LTR_length,3'LTR_pos,3'LTR_length,TSR,Sharpness,PPT
bombus_bifarius_NW_022884648.1:3279-23903,na,na,na,na,na,na,na,na,na,na,na
bombus_bifarius_NW_022884655.1:1-17956,8134:11715, 3582,-,1,8134:8566,433,11283:11715,433,8128:8133/11716:11721,0.6/0.5,8600:8614
bombus_bifarius_NW_022884841.1:1-11958,6320:10931, 4612,+,0.995,6320:7131,812,10120:10931,812,6314:6319/10932:10937,0.529/0.514,10093:10107
bombus_bifarius_NW_022884848.1:1-14851,na,na,na,na,na,na,na,na,na,na,na
bombus_bifarius_NW_022884861.1:4324-18143,na,na,na,na,na,na,na,na,na,na,na
bombus_bifarius_NW_022884861.1:1-13586,na,na,na,na,na,na,na,na,na,na,na
bombus_bifarius_NW_022885224.1:1-15979,na,na,na,na,na,na,na,na,na,na,na
bombus_bifarius_NW_022885323.1:1-11880,na,na,na,na,na,na,na,na,na,na,na
bombus_bifarius_NW_022885338.1:5300-23745,na,na,na,na,na,na,na,na,na,na,na
bombus_bifarius_NW_022885339.1:1-13105,na,na,na,na,na,na,na,na,na,na,na
bombus_bifarius_NW_022885344.1:2438-16930,na,na,na,na,na,na,na,na,na,na,na
bombus_bifarius_NW_022885345.1:1-14185,na,na,na,na,na,na,na,na,na,na,na
bombus_bifarius_NW_022885346.1:1-11907,na,na,na,na,na,na,na,na,na,na,na
bombus_bifarius_NW_022885365.1:19196-40053,na,na,na,na,na,na,na,na,na,na,na
bombus_bifarius_NW_022885401.1:6287-19742,na,na,na,na,na,na,na,na,na,na,na
bombus_bifarius_NW_022885402.1:1-15102,na,na,na,na,na,na,na,na,na,na,na
bombus_bifarius_NW_022885403.1:1-14034,na,na,na,na,na,na,na,na,na,na,na
bombus_bifarius_NW_022885405.1:1-18469,na,na,na,na,na,na,na,na,na,na,na
bombus_bifarius_NW_022885409.1:784-15474,na,na,na,na,na,na,na,na,na,na,na
bombus_bifarius_NW_022885410.1:1-14875,na,na,na,na,na,na,na,na,na,na,na
bombus_bifarius_NW_022885411.1:1-12765,na,na,na,na,na,na,na,na,na,na,na
bombus_bifarius_NW_022885418.1:697-14149,na,na,na,na,na,na,na,na,na,na,na
bombus_bifarius_NW_022885439.1:1-13926,na,na,na,na,na,na,na,na,na,na,na
bombus_bifarius_NW_022885454.1:4926-25783,na,na,na,na,na,na,na,na,na,na,na
bombus_bifarius_NW_022885480.1:3762-20552,na,na,na,na,na,na,na,na,na,na,na
bombus_bifarius_NW_022885480.1:1-12867,na,na,na,na,na,na,na,na,na,na,na
bombus_bifarius_NW_022885481.1:128-20985,na,na,na,na,na,na,na,na,na,na,na
bombus_bifarius_NW_022885483.1:3823-21189,na,na,na,na,na,na,na,na,na,na,na
bombus_bifarius_NW_022885495.1:9489-20850,na,na,na,na,na,na,na,na,na,na,na
bombus_bifarius_NW_022885495.1:1-18146,na,na,na,na,na,na,na,na,na,na,na
bombus_bifarius_NW_022885496.1:1-12343,na,na,na,na,na,na,na,na,na,na,na
bombus_bifarius_NW_022885512.1:2706-16794,na,na,na,na,na,na,na,na,na,na,na
bombus_bifarius_NW_022885519.1:1-17853,na,na,na,na,na,na,na,na,na,na,na
bombus_bifarius_NW_022885541.1:305-21162,na,na,na,na,na,na,na,na,na,na,na
bombus_vancouverensis_nearcticus_NW_022881837.1:2409838-2428486,na,na,na,na,na,na,na,na,na,na,na
bombus_vancouverensis_nearcticus_NW_022881867.1:409639-422058,na,na,na,na,na,na,na,na,na,na,na
bombus_vancouverensis_nearcticus_NW_022881884.1:207030-223380,na,na,na,na,na,na,na,na,na,na,na
bombus_vancouverensis_nearcticus_NW_022881947.1:9749-31125,na,na,na,na,na,na,na,na,na,na,na
bombus_vancouverensis_nearcticus_NW_022881977.1:1-14772,na,na,na,na,na,na,na,na,na,na,na
bombus_vancouverensis_nearcticus_NW_022881993.1:1-17749,na,na,na,na,na,na,na,na,na,na,na
bombus_vancouverensis_nearcticus_NW_022881993.1:1-17749,na,na,na,na,na,na,na,na,na,na,na
bombus_vancouverensis_nearcticus_NW_022882008.1:43925-65301,na,na,na,na,na,na,na,na,na,na,na
bombus_vancouverensis_nearcticus_NW_022882008.1:44255-64767,na,na,na,na,na,na,na,na,na,na,na
bombus_vancouverensis_nearcticus_NW_022882137.1:16459-37892,na,na,na,na,na,na,na,na,na,na,na
bombus_vancouverensis_nearcticus_NW_022882137.1:34102-45802,na,na,na,na,na,na,na,na,na,na,na
bombus_vancouverensis_nearcticus_NW_022882137.1:1-20247,na,na,na,na,na,na,na,na,na,na,na
bombus_vancouverensis_nearcticus_NW_022882160.1:24381-45637,3304:9824, 6521,-,0.998,3304:4115,812,9013:9824,812,3298:3303/9825:9830,0.6/0.586,4128:4142
bombus_vancouverensis_nearcticus_NW_022882180.1:1-12952,na,na,na,na,na,na,na,na,na,na,na
bombus_vancouverensis_nearcticus_NW_022882194.1:1-11680,na,na,na,na,na,na,na,na,na,na,na
bombus_vancouverensis_nearcticus_NW_022882231.1:146-16829,na,na,na,na,na,na,na,na,na,na,na
bombus_vancouverensis_nearcticus_NW_022882231.1:1-16829,na,na,na,na,na,na,na,na,na,na,na
bombus_vancouverensis_nearcticus_NW_022882235.1:227-19056,na,na,na,na,na,na,na,na,na,na,na
bombus_vancouverensis_nearcticus_NW_022882237.1:1-18716,10005:16360, 6356,+,0.983,10005:10816,812,15550:16360,811,10001:10004/16361:16364,0.571/0.471,15523:15537
bombus_vancouverensis_nearcticus_NW_022882248.1:1-17189,na,na,na,na,na,na,na,na,na,na,na
bombus_vancouverensis_nearcticus_NW_022882249.1:5228-26085,na,na,na,na,na,na,na,na,na,na,na
bombus_vancouverensis_nearcticus_NW_022882249.1:1-13897,na,na,na,na,na,na,na,na,na,na,na
bombus_vancouverensis_nearcticus_NW_022882269.1:5423-24771,na,na,na,na,na,na,na,na,na,na,na
bombus_vancouverensis_nearcticus_NW_022882294.1:4813-25670,na,na,na,na,na,na,na,na,na,na,na
bombus_vancouverensis_nearcticus_NW_022882295.1:1-16921,na,na,na,na,na,na,na,na,na,na,na
bombus_vancouverensis_nearcticus_NW_022882296.1:1-19235,na,na,na,na,na,na,na,na,na,na,na
bombus_vancouverensis_nearcticus_NW_022882367.1:14520-35092,na,na,na,na,na,na,na,na,na,na,na
bombus_vancouverensis_nearcticus_NW_022882383.1:30237-42854,na,na,na,na,na,na,na,na,na,na,na
bombus_vancouverensis_nearcticus_NW_022882384.1:14074-35507,na,na,na,na,na,na,na,na,na,na,na
bombus_vancouverensis_nearcticus_NW_022882401.1:44430-58075,na,na,na,na,na,na,na,na,na,na,na
bombus_vancouverensis_nearcticus_NW_022882402.1:5086-25943,na,na,na,na,na,na,na,na,na,na,na
bombus_vancouverensis_nearcticus_NW_022882403.1:1912-22448,na,na,na,na,na,na,na,na,na,na,na
bombus_vancouverensis_nearcticus_NW_022882403.1:1-11042,na,na,na,na,na,na,na,na,na,na,na
bombus_vancouverensis_nearcticus_NW_022882467.1:4629-25486,na,na,na,na,na,na,na,na,na,na,na
bombus_vancouverensis_nearcticus_NW_022882467.1:1-13289,na,na,na,na,na,na,na,na,na,na,na
bombus_vancouverensis_nearcticus_NW_022882468.1:1-18670,na,na,na,na,na,na,na,na,na,na,na
bombus_vancouverensis_nearcticus_NW_022882469.1:1-13264,na,na,na,na,na,na,na,na,na,na,na
bombus_vancouverensis_nearcticus_NW_022882514.1:51423-70215,na,na,na,na,na,na,na,na,na,na,na
bombus_vancouverensis_nearcticus_NW_022882515.1:36476-51629,na,na,na,na,na,na,na,na,na,na,na
bombus_vancouverensis_nearcticus_NW_022882515.1:1-20326,na,na,na,na,na,na,na,na,na,na,na
bombus_vancouverensis_nearcticus_NW_022882515.1:1-19735,na,na,na,na,na,na,na,na,na,na,na
bombus_vancouverensis_nearcticus_NW_022882562.1:578629-600062,na,na,na,na,na,na,na,na,na,na,na
bombus_vancouverensis_nearcticus_NW_022882574.1:1-18559,11791:18398, 6608,-,0.998,11791:12747,957,17442:18398,957,11785:11790/18399:18404,0.557/0.557,12760:12774
bombus_vancouverensis_nearcticus_NW_022882577.1:1-14686,na,na,na,na,na,na,na,na,na,na,na
bombus_vancouverensis_nearcticus_NW_022882580.1:1-12124,na,na,na,na,na,na,na,na,na,na,na
bombus_vancouverensis_nearcticus_NW_022882628.1:1-14833,na,na,na,na,na,na,na,na,na,na,na
bombus_vancouverensis_nearcticus_NW_022882664.1:1-18886,na,na,na,na,na,na,na,na,na,na,na
bombus_vancouverensis_nearcticus_NW_022882666.1:9959-30816,na,na,na,na,na,na,na,na,na,na,na
bombus_vancouverensis_nearcticus_NW_022882666.1:21805-39612,na,na,na,na,na,na,na,na,na,na,na
bombus_vancouverensis_nearcticus_NW_022882666.1:1-18922,na,na,na,na,na,na,na,na,na,na,na
bombus_vancouverensis_nearcticus_NW_022882673.1:49046-70479,na,na,na,na,na,na,na,na,na,na,na
bombus_vancouverensis_nearcticus_NW_022882772.1:20368-41225,580:7143, 6564,+,0.947,580:1565,986,6157:7143,987,576:579/7144:7147,0.614/0.5,6101:6115
bombus_vancouverensis_nearcticus_NW_022882772.1:32113-51031,na,na,na,na,na,na,na,na,na,na,na
bombus_vancouverensis_nearcticus_NW_022882833.1:212-21054,na,na,na,na,na,na,na,na,na,na,na
bombus_vancouverensis_nearcticus_NW_022882833.1:12866-26312,na,na,na,na,na,na,na,na,na,na,na
bombus_vancouverensis_nearcticus_NW_022882833.1:13205-26312,na,na,na,na,na,na,na,na,na,na,na
bombus_vancouverensis_nearcticus_NW_022882834.1:1-20323,na,na,na,na,na,na,na,na,na,na,na
bombus_vancouverensis_nearcticus_NW_022882835.1:4326-25168,na,na,na,na,na,na,na,na,na,na,na
bombus_vancouverensis_nearcticus_NW_022882835.1:1-12512,na,na,na,na,na,na,na,na,na,na,na
bombus_vancouverensis_nearcticus_NW_022882856.1:1-19012,na,na,na,na,na,na,na,na,na,na,na
bombus_vancouverensis_nearcticus_NW_022882857.1:12447-23609,na,na,na,na,na,na,na,na,na,na,na
bombus_vancouverensis_nearcticus_NW_022882857.1:1-20291,na,na,na,na,na,na,na,na,na,na,na
bombus_vancouverensis_nearcticus_NW_022882858.1:3262-19003,na,na,na,na,na,na,na,na,na,na,na
bombus_vancouverensis_nearcticus_NW_022882859.1:3341-22699,na,na,na,na,na,na,na,na,na,na,na
bombus_vancouverensis_nearcticus_NW_022882859.1:1-12782,na,na,na,na,na,na,na,na,na,na,na
bombus_vancouverensis_nearcticus_NW_022882864.1:1359-14781,na,na,na,na,na,na,na,na,na,na,na
bombus_vancouverensis_nearcticus_NW_022882880.1:3091-23198,na,na,na,na,na,na,na,na,na,na,na
bombus_vancouverensis_nearcticus_NW_022882892.1:1-15959,na,na,na,na,na,na,na,na,na,na,na
bombus_vancouverensis_nearcticus_NW_022882902.1:1-16141,na,na,na,na,na,na,na,na,na,na,na
bombus_vancouverensis_nearcticus_NW_022882917.1:3726-23367,na,na,na,na,na,na,na,na,na,na,na
bombus_vancouverensis_nearcticus_NW_022882917.1:1-11603,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229222.1:647273-668172,5820:20370, 14551,-,0.991,5820:7757,1938,18439:20370,1932,5816:5819/20371:20374,0.529/0.457,7815:7829
camponotus_floridanus_NW_020229231.1:448380-469279,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229251.1:512233-533129,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229252.1:317397-338302,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229252.1:396893-417804,7141:19667, 12527,-,1,7141:9518,2378,17290:19667,2378,7137:7140/19668:19671,0.543/0.571,9599:9613
camponotus_floridanus_NW_020229252.1:444593-461608,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229254.1:115719-136612,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229269.1:357946-378845,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229275.1:7923-28705,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229290.1:5276-26187,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229290.1:322260-343162,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229290.1:29976-50791,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229304.1:113108-133923,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229320.1:149190-170050,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229320.1:218591-239496,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229320.1:227848-248753,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229320.1:237088-257999,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229320.1:267838-288749,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229320.1:277700-297076,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229332.1:95791-116702,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229332.1:101402-122313,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229332.1:14756-35616,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229332.1:67581-88441,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229343.1:26825-47685,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229343.1:1-19222,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229345.1:5840-26700,6225:20849, 14625,+,0.863,6225:6575,351,20500:20849,350,6221:6224/20850:20853,0.643/1,20456:20470
camponotus_floridanus_NW_020229345.1:5840-26700,6259:20679, 14421,+,1,6259:6404,146,20534:20679,146,6254:6258/20680:20684,0.643/0.657,20456:20470
camponotus_floridanus_NW_020229349.1:103302-124162,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229352.1:1-11811,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229357.1:181227-202006,674:17112, 16439,+,0.945,674:2641,1968,15172:17112,1941,670:673/17113:17116,0.486/0.486,15100:15114
camponotus_floridanus_NW_020229362.1:110568-131479,1366:13653, 12288,+,1,1366:3623,2258,11395:13653,2259,1362:1365/13654:13657,0.557/0.543,11300:11314
camponotus_floridanus_NW_020229362.1:88304-109215,16321:20801, 4481,+,0.87,16321:17321,1001,19799:20801,1003,16316:16320/20802:20806,0.486/1,19758:19772
camponotus_floridanus_NW_020229378.1:148326-169102,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229378.1:165877-186782,22:18489, 18468,+,1,22:571,550,17940:18489,550,NOTFOUND,1/0.486,17864:17878
camponotus_floridanus_NW_020229383.1:99533-120438,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229383.1:29927-50832,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229383.1:79656-100561,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229391.1:149718-170578,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229409.1:4420-25280,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229409.1:22949-43860,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229426.1:10776-31636,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229429.1:106975-127877,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229431.1:1-19267,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229451.1:18954-39814,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229451.1:57990-78895,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229454.1:97550-116311,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229461.1:99076-111353,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229461.1:46269-67174,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229461.1:62557-83462,2521:20897, 18377,-,1,2521:3086,566,20332:20897,566,NOTFOUND,0.529/1,3160:3174
camponotus_floridanus_NW_020229465.1:1-12797,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229468.1:1435-22391,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229474.1:1-15002,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229474.1:40818-61723,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229489.1:25081-45986,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229489.1:45107-66012,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229490.1:137965-158750,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229495.1:8771-29676,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229495.1:38502-59413,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229499.1:6828-27739,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229499.1:64051-84956,2792:20873, 18082,-,1,2792:3334,543,20331:20873,543,NOTFOUND,0.514/1,3386:3400
camponotus_floridanus_NW_020229499.1:1-19462,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229507.1:10799-31704,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229515.1:55631-76536,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229517.1:10660-31571,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229517.1:23470-44309,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229527.1:31770-52675,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229535.1:1-19411,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229537.1:19123-40028,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229537.1:1-14291,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229537.1:60193-72325,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229542.1:10184-31110,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229546.1:19308-40213,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229558.1:14216-35121,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229567.1:1-13280,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229568.1:1-17890,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229571.1:74376-90815,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229581.1:1925576-1946442,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229588.1:1499-22404,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229588.1:40415-53105,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229605.1:1-12794,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229605.1:12569-33474,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229605.1:49776-69855,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229611.1:53830-73755,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229615.1:22807-43712,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229616.1:27966-43883,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229617.1:5069-25962,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229618.1:2018-22917,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229629.1:23647-40708,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229634.1:17966-38324,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229642.1:9833-30744,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229645.1:253-21158,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229650.1:16909-35015,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229651.1:1713-22618,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229651.1:6497-27402,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229663.1:4695-25555,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229665.1:1-14569,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229676.1:1-16224,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229679.1:17286-29567,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229683.1:1-16995,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229691.1:1-13611,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229701.1:2099-22959,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229716.1:3908-24813,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229813.1:1-12897,na,na,na,na,na,na,na,na,na,na,na
camponotus_floridanus_NW_020229821.1:1-11416,na,na,na,na,na,na,na,na,na,na,na
cephus_cinctus_NW_014332819.1:1-14740,na,na,na,na,na,na,na,na,na,na,na
cephus_cinctus_NW_014332969.1:1-12923,na,na,na,na,na,na,na,na,na,na,na
cephus_cinctus_NW_014333061.1:16961-38763,na,na,na,na,na,na,na,na,na,na,na
cephus_cinctus_NW_014333126.1:1-12084,na,na,na,na,na,na,na,na,na,na,na
cephus_cinctus_NW_014333170.1:1-14351,na,na,na,na,na,na,na,na,na,na,na
cephus_cinctus_NW_014333275.1:1-14869,na,na,na,na,na,na,na,na,na,na,na
cephus_cinctus_NW_014334081.1:7375-28274,na,na,na,na,na,na,na,na,na,na,na
