Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#143 - >seq143	superfamily	407771	423	482	4.34162e-16	72.6798	cl39036	Integrase_H2C2 superfamily	 - 	 - 
Q#143 - >seq143	superfamily	419726	499	594	3.29311e-09	54.6392	cl21549	rve superfamily	 - 	 - 
Q#150 - >seq150	superfamily	418438	54	91	0.000953834	34.1784	cl17238	RING_Ubox superfamily	 - 	 - 
Q#152 - >seq152	superfamily	397205	227	278	3.72547e-07	47.0902	cl40835	Endonuclease_7 superfamily	C	 - 
Q#153 - >seq153	superfamily	391808	14	137	0.00750244	36.5531	cl28058	DNA_pol_B_2 superfamily	C	 - 
Q#161 - >seq161	superfamily	397205	227	278	3.72547e-07	47.0902	cl40835	Endonuclease_7 superfamily	C	 - 
Q#162 - >seq162	superfamily	391808	14	137	0.00750244	36.5531	cl28058	DNA_pol_B_2 superfamily	C	 - 
Q#166 - >seq166	superfamily	416259	76	163	1.8189e-11	57.3464	cl11403	pepsin_retropepsin_like superfamily	 - 	 - 
Q#168 - >seq168	superfamily	413489	9	177	2.25027e-56	175091	cl02808	RT_like superfamily	 - 	 - 
Q#169 - >seq169	superfamily	417494	108	226	1.30606e-45	158.04	cl14782	RNase_H_like superfamily	 - 	 - 
Q#169 - >seq169	superfamily	407771	320	379	7.76068e-16	71.9094	cl39036	Integrase_H2C2 superfamily	 - 	 - 
Q#169 - >seq169	superfamily	419726	396	491	2.07113e-08	52.3281	cl21549	rve superfamily	 - 	 - 
Q#174 - >seq174	superfamily	380191	23	94	0.000242848	38.6427	cl40326	internalin_J superfamily	NC	 - 
Q#175 - >seq175	superfamily	380191	20	132	2.54527e-08	51.3543	cl40326	internalin_J superfamily	C	 - 
Q#178 - >seq178	superfamily	380191	7	197	1.93874e-07	50.5839	cl40326	internalin_J superfamily	C	 - 
Q#180 - >seq180	superfamily	420019	12	168	1.79282e-12	65.94	cl23802	Peptidase_C48 superfamily	 - 	 - 
Q#188 - >seq188	superfamily	421695	2	82	1.20524e-17	76.0833	cl28910	MFS superfamily	N	 - 
Q#199 - >seq199	superfamily	421881	124	218	0.00157645	37.6969	cl29674	Retrotrans_gag superfamily	 - 	 - 
Q#200 - >seq200	superfamily	416259	44	131	2.23707e-10	56.9612	cl11403	pepsin_retropepsin_like superfamily	 - 	 - 
Q#200 - >seq200	superfamily	412115	179	310	1.09195e-05	44.5504	cl00019	Macro_SF superfamily	 - 	 - 
Q#201 - >seq201	superfamily	413489	256	330	8.53611e-19	82.2581	cl02808	RT_like superfamily	C	 - 
Q#202 - >seq202	superfamily	417494	193	311	2.56993e-46	160736	cl14782	RNase_H_like superfamily	 - 	 - 
Q#202 - >seq202	superfamily	413489	3	95	4.27934e-24	99.5921	cl02808	RT_like superfamily	N	 - 
Q#202 - >seq202	superfamily	407771	405	463	5.5812e-16	72.6798	cl39036	Integrase_H2C2 superfamily	 - 	 - 
Q#202 - >seq202	superfamily	419726	481	576	4.58673e-10	56.9504	cl21549	rve superfamily	 - 	 - 
Q#205 - >seq205	superfamily	380191	32	218	3.59215e-12	66.3771	cl40326	internalin_J superfamily	C	 - 
Q#205 - >seq205	superfamily	418438	240	276	2.1131e-06	43.8084	cl17238	RING_Ubox superfamily	 - 	 - 
Q#206 - >seq206	superfamily	420019	40	155	7.91071e-09	54.7692	cl23802	Peptidase_C48 superfamily	N	 - 
Q#208 - >seq208	superfamily	235124	89	206	6.31826e-05	42715	cl35206	PRK03427 superfamily	C	 - 
Q#209 - >seq209	superfamily	413489	6	104	8.21673e-51	159298	cl02808	RT_like superfamily	N	 - 
Q#221 - >seq221	superfamily	421801	20	102	0.00159509	36.2092	cl29371	Transposase_21 superfamily	NC	 - 
Q#223 - >seq223	superfamily	173561	116	175	3.49912e-10	57.5092	cl31762	PTZ00368 superfamily	N	 - 
Q#223 - >seq223	superfamily	416259	219	297	1.96317e-05	42.3201	cl11403	pepsin_retropepsin_like superfamily	 - 	 - 
Q#224 - >seq224	superfamily	411202	20	109	1.34314e-12	64.1492	cl41329	transpos_IS481 superfamily	N	 - 
Q#225 - >seq225	superfamily	416386	105	151	0.00379561	35.2967	cl11960	Ig superfamily	C	 - 
Q#240 - >seq240	superfamily	398497	9	250	2.24576e-164	468441	cl15562	TH1 superfamily	C	 - 
Q#242 - >seq242	superfamily	398497	1	310	0	597098	cl15562	TH1 superfamily	N	 - 
Q#246 - >seq246	superfamily	413489	738	922	5.79181e-63	212165	cl02808	RT_like superfamily	 - 	 - 
Q#246 - >seq246	superfamily	281552	142	275	2.57283e-11	62.4632	cl04160	DUF1759 superfamily	 - 	 - 
Q#246 - >seq246	superfamily	419867	13	58	9.1176e-11	57.6822	cl22851	PHD_SF superfamily	 - 	 - 
Q#247 - >seq247	superfamily	398835	67	226	3.56581e-67	218476	cl05112	Peptidase_A17 superfamily	 - 	 - 
Q#247 - >seq247	superfamily	407771	436	492	0.000173712	39.9378	cl39036	Integrase_H2C2 superfamily	 - 	 - 
Q#249 - >seq249	superfamily	408478	3	38	1.2278e-07	50.1645	cl40017	DUF5641 superfamily	N	 - 
Q#250 - >seq250	superfamily	412407	2	182	7.8156e-31	112445	cl00490	EEP superfamily	C	 - 
Q#251 - >seq251	superfamily	413489	100	156	3.99033e-10	56.9158	cl02808	RT_like superfamily	C	 - 
Q#267 - >seq267	superfamily	412407	8	159	1.30836e-10	58.0763	cl00490	EEP superfamily	C	 - 
Q#269 - >seq269	superfamily	413489	290	556	1.01395e-50	177868	cl02808	RT_like superfamily	 - 	 - 
Q#269 - >seq269	superfamily	417494	709	833	3.48372e-35	130.03	cl14782	RNase_H_like superfamily	 - 	 - 
Q#269 - >seq269	superfamily	412407	7	43	0.00487453	39.1973	cl00490	EEP superfamily	N	 - 
Q#274 - >seq274	superfamily	407771	3	57	4.68893e-07	43.4046	cl39036	Integrase_H2C2 superfamily	 - 	 - 
Q#275 - >seq275	superfamily	411202	45	102	9.75826e-15	69.5419	cl41329	transpos_IS481 superfamily	N	 - 
Q#280 - >seq280	superfamily	413489	2	109	3.26226e-11	60.7678	cl02808	RT_like superfamily	N	 - 
Q#281 - >seq281	superfamily	412407	67	247	3.88026e-30	112445	cl00490	EEP superfamily	C	 - 
Q#282 - >seq282	superfamily	413489	100	156	3.99033e-10	56.9158	cl02808	RT_like superfamily	C	 - 
Q#285 - >seq285	superfamily	223021	18	205	0.00554748	38.7661	cl33720	PHA03247 superfamily	N	 - 
Q#294 - >seq294	superfamily	408478	737	830	2.35856e-26	104092	cl40017	DUF5641 superfamily	 - 	 - 
Q#294 - >seq294	superfamily	281552	142	275	1.08668e-11	64.3892	cl04160	DUF1759 superfamily	 - 	 - 
Q#294 - >seq294	superfamily	419867	13	59	2.1613e-10	57496	cl22851	PHD_SF superfamily	 - 	 - 
Q#297 - >seq297	superfamily	406466	69	158	3.16287e-11	56.4689	cl24587	DUF4806 superfamily	 - 	 - 
Q#299 - >seq299	superfamily	416259	17	96	0.000190284	37.2553	cl11403	pepsin_retropepsin_like superfamily	 - 	 - 
Q#300 - >seq300	superfamily	413489	105	286	3.58511e-75	243657	cl02808	RT_like superfamily	 - 	 - 
Q#300 - >seq300	superfamily	417494	386	504	4.17244e-55	186159	cl14782	RNase_H_like superfamily	 - 	 - 
Q#300 - >seq300	superfamily	407771	625	677	2.42662e-09	53805	cl39036	Integrase_H2C2 superfamily	 - 	 - 
Q#300 - >seq300	superfamily	419726	695	785	2.60714e-05	43.8537	cl21549	rve superfamily	 - 	 - 
Q#301 - >seq301	superfamily	254125	28	489	2.76035e-24	105707	cl12346	Gypsy superfamily	 - 	 - 
Q#303 - >seq303	superfamily	398835	119	278	1.14406e-67	225024	cl05112	Peptidase_A17 superfamily	 - 	 - 
Q#303 - >seq303	superfamily	408478	765	858	5.38887e-26	103322	cl40017	DUF5641 superfamily	 - 	 - 
Q#303 - >seq303	superfamily	413489	12	96	2.66068e-11	64.6332	cl02808	RT_like superfamily	N	 - 
Q#303 - >seq303	superfamily	407771	488	544	0.000243352	40323	cl39036	Integrase_H2C2 superfamily	 - 	 - 
Q#307 - >seq307	superfamily	413489	146	362	3.92035e-71	232195	cl02808	RT_like superfamily	 - 	 - 
Q#307 - >seq307	superfamily	398835	378	546	1.6629e-64	212698	cl05112	Peptidase_A17 superfamily	 - 	 - 
Q#309 - >seq309	superfamily	419726	56	162	1.04877e-06	45.7797	cl21549	rve superfamily	 - 	 - 
Q#310 - >seq310	superfamily	413489	5	141	9.43418e-60	182.41	cl02808	RT_like superfamily	C	 - 
Q#311 - >seq311	superfamily	417494	145	262	1.45594e-54	173062	cl14782	RNase_H_like superfamily	 - 	 - 
Q#311 - >seq311	superfamily	413489	10	45	2.48097e-06	46.8197	cl02808	RT_like superfamily	N	 - 
Q#312 - >seq312	superfamily	404992	68	112	3.12638e-08	48.3957	cl26047	Retrotran_gag_2 superfamily	C	 - 
Q#313 - >seq313	superfamily	404992	1	88	4.4784e-19	76.1301	cl26047	Retrotran_gag_2 superfamily	N	 - 
Q#314 - >seq314	superfamily	197667	32	47	0.00110389	33956	cl33244	ZnF_C2HC superfamily	 - 	 - 
Q#314 - >seq314	superfamily	227414	31	67	0.0017613	35982	cl34894	AIR1 superfamily	NC	 - 
Q#316 - >seq316	superfamily	416259	1	91	1.24357e-26	96.5071	cl11403	pepsin_retropepsin_like superfamily	 - 	 - 
Q#329 - >seq329	superfamily	408478	737	830	2.33575e-26	104092	cl40017	DUF5641 superfamily	 - 	 - 
Q#329 - >seq329	superfamily	281552	142	275	3.62552e-11	62.8484	cl04160	DUF1759 superfamily	 - 	 - 
Q#329 - >seq329	superfamily	419867	13	59	2.18254e-10	57496	cl22851	PHD_SF superfamily	 - 	 - 
Q#337 - >seq337	superfamily	281552	67	149	0.000987898	38.5809	cl04160	DUF1759 superfamily	N	 - 
Q#338 - >seq338	superfamily	416259	1	70	0.00948658	32.6936	cl11403	pepsin_retropepsin_like superfamily	C	 - 
Q#339 - >seq339	superfamily	407771	75	126	0.000266256	37.6266	cl39036	Integrase_H2C2 superfamily	 - 	 - 
Q#340 - >seq340	superfamily	408478	154	234	2.34066e-26	97.9292	cl40017	DUF5641 superfamily	 - 	 - 
Q#344 - >seq344	superfamily	408478	21	114	4.34009e-25	90.9956	cl40017	DUF5641 superfamily	 - 	 - 
Q#352 - >seq352	superfamily	408478	737	830	2.3816e-26	104092	cl40017	DUF5641 superfamily	 - 	 - 
Q#352 - >seq352	superfamily	281552	142	275	3.62552e-11	62.8484	cl04160	DUF1759 superfamily	 - 	 - 
Q#352 - >seq352	superfamily	419867	13	58	1.39912e-10	57.6822	cl22851	PHD_SF superfamily	 - 	 - 
Q#365 - >seq365	superfamily	419867	12	44	1.98008e-09	52.6746	cl22851	PHD_SF superfamily	N	 - 
Q#365 - >seq365	superfamily	281552	117	254	2.51129e-09	55.1445	cl04160	DUF1759 superfamily	 - 	 - 
Q#368 - >seq368	superfamily	412407	67	283	1.99451e-44	150965	cl00490	EEP superfamily	 - 	 - 
Q#369 - >seq369	superfamily	413489	177	438	3.05598e-59	197514	cl02808	RT_like superfamily	 - 	 - 
Q#376 - >seq376	superfamily	419867	13	58	1.04172e-09	51519	cl22851	PHD_SF superfamily	 - 	 - 
Q#377 - >seq377	superfamily	281552	3	98	0.000313113	38.5809	cl04160	DUF1759 superfamily	N	 - 
Q#378 - >seq378	superfamily	408478	384	477	5.4752e-26	102166	cl40017	DUF5641 superfamily	 - 	 - 
Q#384 - >seq384	superfamily	408478	737	830	2.33575e-26	104092	cl40017	DUF5641 superfamily	 - 	 - 
Q#384 - >seq384	superfamily	281552	142	275	6.34005e-11	62078	cl04160	DUF1759 superfamily	 - 	 - 
Q#384 - >seq384	superfamily	419867	13	58	1.42675e-10	57.6822	cl22851	PHD_SF superfamily	 - 	 - 
Q#389 - >seq389	superfamily	412407	33	103	7.04108e-08	48.8273	cl00490	EEP superfamily	N	 - 
Q#392 - >seq392	superfamily	400190	489	570	3.65775e-20	89.9586	cl06662	RVT_2 superfamily	C	 - 
Q#392 - >seq392	superfamily	411202	111	224	1.5804e-17	83.4091	cl41329	transpos_IS481 superfamily	N	 - 
Q#392 - >seq392	superfamily	372857	19	93	2.42035e-13	65.0797	cl16514	gag_pre-integrs superfamily	 - 	 - 
Q#396 - >seq396	superfamily	413489	24	140	1.95845e-20	86191	cl02808	RT_like superfamily	N	 - 
Q#397 - >seq397	superfamily	404792	199	228	0.000124205	39.9743	cl16506	zf-RVT superfamily	N	 - 
Q#400 - >seq400	superfamily	419867	17	62	5.33937e-10	50.7486	cl22851	PHD_SF superfamily	 - 	 - 
Q#401 - >seq401	superfamily	413489	576	797	2.68911e-67	226417	cl02808	RT_like superfamily	 - 	 - 
Q#401 - >seq401	superfamily	398835	815	974	6.15067e-64	214624	cl05112	Peptidase_A17 superfamily	 - 	 - 
Q#401 - >seq401	superfamily	408478	1466	1553	1.72463e-33	124893	cl40017	DUF5641 superfamily	 - 	 - 
Q#401 - >seq401	superfamily	281552	2	114	1.54672e-08	55.1445	cl04160	DUF1759 superfamily	N	 - 
Q#401 - >seq401	superfamily	407771	1188	1239	0.000200407	40.7082	cl39036	Integrase_H2C2 superfamily	 - 	 - 
Q#401 - >seq401	superfamily	416259	302	439	0.00202701	40.6823	cl11403	pepsin_retropepsin_like superfamily	 - 	 - 
Q#404 - >seq404	superfamily	413489	297	478	1.5422e-80	255598	cl02808	RT_like superfamily	 - 	 - 
Q#404 - >seq404	superfamily	417494	573	691	1.99938e-55	186159	cl14782	RNase_H_like superfamily	 - 	 - 
Q#405 - >seq405	superfamily	407771	56	102	1.8232e-08	49.5678	cl39036	Integrase_H2C2 superfamily	 - 	 - 
Q#405 - >seq405	superfamily	419726	121	205	1.92918e-05	42.3129	cl21549	rve superfamily	 - 	 - 
Q#406 - >seq406	superfamily	254125	4	424	6.75213e-25	106863	cl12346	Gypsy superfamily	 - 	 - 
Q#408 - >seq408	superfamily	227414	274	350	7.28115e-07	49.0787	cl34894	AIR1 superfamily	C	 - 
Q#408 - >seq408	superfamily	236669	54	149	0.00211053	40.0683	cl35903	PRK10263 superfamily	NC	 - 
Q#410 - >seq410	superfamily	412407	53	249	3.01337e-58	183647	cl00490	EEP superfamily	 - 	 - 
Q#447 - >seq447	superfamily	372752	154	522	1.90069e-83	266089	cl16433	DDE_Tnp_1_7 superfamily	 - 	 - 
Q#450 - >seq450	superfamily	372752	1	168	5.54433e-46	153611	cl16433	DDE_Tnp_1_7 superfamily	NC	 - 
Q#456 - >seq456	superfamily	411202	21	146	1.26448e-07	51.4376	cl41329	transpos_IS481 superfamily	N	 - 
Q#456 - >seq456	superfamily	421697	233	264	0.000114709	38.8364	cl28914	CD_CSD superfamily	C	 - 
Q#458 - >seq458	superfamily	398835	142	304	5.6165e-78	249677	cl05112	Peptidase_A17 superfamily	 - 	 - 
Q#458 - >seq458	superfamily	408478	796	862	5.68382e-31	116419	cl40017	DUF5641 superfamily	C	 - 
Q#458 - >seq458	superfamily	413489	3	128	2.85511e-23	98.5308	cl02808	RT_like superfamily	N	 - 
Q#458 - >seq458	superfamily	407771	520	572	0.000722973	38397	cl39036	Integrase_H2C2 superfamily	 - 	 - 
Q#458 - >seq458	superfamily	419726	615	698	0.00300878	37.6905	cl21549	rve superfamily	 - 	 - 
Q#459 - >seq459	superfamily	413416	24	58	0.00286307	35.0608	cl02640	SAP superfamily	 - 	 - 
Q#460 - >seq460	superfamily	413489	470	646	1.75329e-50	175476	cl02808	RT_like superfamily	 - 	 - 
Q#460 - >seq460	superfamily	417494	741	861	2.9405e-43	152647	cl14782	RNase_H_like superfamily	 - 	 - 
Q#460 - >seq460	superfamily	412115	1	105	4.35132e-12	64.1956	cl00019	Macro_SF superfamily	 - 	 - 
Q#461 - >seq461	superfamily	407771	21	80	3.02772e-16	68.8278	cl39036	Integrase_H2C2 superfamily	 - 	 - 
Q#475 - >seq475	superfamily	421881	133	228	4.59668e-12	61.9644	cl29674	Retrotrans_gag superfamily	 - 	 - 
Q#475 - >seq475	superfamily	173561	378	426	0.00029395	40.9457	cl31762	PTZ00368 superfamily	NC	 - 
Q#476 - >seq476	superfamily	413489	638	813	1.23102e-48	170854	cl02808	RT_like superfamily	 - 	 - 
Q#476 - >seq476	superfamily	417494	909	1029	4.92392e-43	152647	cl14782	RNase_H_like superfamily	 - 	 - 
Q#476 - >seq476	superfamily	412115	170	297	2.60078e-22	94.2412	cl00019	Macro_SF superfamily	 - 	 - 
Q#476 - >seq476	superfamily	407771	1109	1166	1.59695e-17	77.6874	cl39036	Integrase_H2C2 superfamily	 - 	 - 
Q#476 - >seq476	superfamily	416259	48	135	1.31014e-12	65.0504	cl11403	pepsin_retropepsin_like superfamily	 - 	 - 
Q#476 - >seq476	superfamily	411202	1185	1317	1.67294e-08	57.6008	cl41329	transpos_IS481 superfamily	N	 - 
Q#482 - >seq482	superfamily	421881	293	383	2.0608e-06	46.5565	cl29674	Retrotrans_gag superfamily	 - 	 - 
Q#484 - >seq484	superfamily	413489	363	564	2.96943e-39	143.89	cl02808	RT_like superfamily	 - 	 - 
Q#484 - >seq484	superfamily	417494	659	781	3.04441e-37	135698	cl14782	RNase_H_like superfamily	 - 	 - 
Q#484 - >seq484	superfamily	416259	10	96	7.10319e-11	59.6576	cl11403	pepsin_retropepsin_like superfamily	 - 	 - 
Q#484 - >seq484	superfamily	407771	935	992	1.27993e-10	57657	cl39036	Integrase_H2C2 superfamily	 - 	 - 
Q#500 - >seq500	superfamily	421881	293	383	7.5381e-07	47.7121	cl29674	Retrotrans_gag superfamily	 - 	 - 
Q#502 - >seq502	superfamily	413489	343	542	1.52119e-39	144.66	cl02808	RT_like superfamily	 - 	 - 
Q#502 - >seq502	superfamily	417494	637	759	3.21914e-37	136083	cl14782	RNase_H_like superfamily	 - 	 - 
Q#502 - >seq502	superfamily	407771	913	970	1.64604e-10	57657	cl39036	Integrase_H2C2 superfamily	 - 	 - 
Q#502 - >seq502	superfamily	416259	2	74	8.98801e-10	56576	cl11403	pepsin_retropepsin_like superfamily	 - 	 - 
Q#502 - >seq502	superfamily	411202	1009	1106	8.60565e-09	58.3712	cl41329	transpos_IS481 superfamily	N	 - 
Q#523 - >seq523	superfamily	237171	501	651	1.10025e-05	48.7467	cl36163	PRK12678 superfamily	C	 - 
Q#523 - >seq523	superfamily	421881	327	416	1.41666e-05	44.2453	cl29674	Retrotrans_gag superfamily	 - 	 - 
Q#525 - >seq525	superfamily	413489	460	642	2.38442e-41	150053	cl02808	RT_like superfamily	 - 	 - 
Q#525 - >seq525	superfamily	417494	736	856	3.43723e-36	133002	cl14782	RNase_H_like superfamily	 - 	 - 
Q#525 - >seq525	superfamily	407771	963	1021	1.76616e-12	63435	cl39036	Integrase_H2C2 superfamily	 - 	 - 
Q#525 - >seq525	superfamily	416259	83	169	2.46357e-11	61.1984	cl11403	pepsin_retropepsin_like superfamily	 - 	 - 
Q#525 - >seq525	superfamily	411202	1046	1145	6.07231e-09	58.7564	cl41329	transpos_IS481 superfamily	N	 - 
Q#527 - >seq527	superfamily	223021	14	250	3.02949e-06	49.9369	cl33720	PHA03247 superfamily	N	 - 
Q#531 - >seq531	superfamily	418438	56	96	1.83127e-07	44.1978	cl17238	RING_Ubox superfamily	 - 	 - 
Q#537 - >seq537	superfamily	369971	19	154	0.00958663	35.5768	cl25816	KAR9 superfamily	N	 - 
Q#556 - >seq556	superfamily	237171	133	270	2.77445e-05	45.6651	cl36163	PRK12678 superfamily	C	 - 
Q#558 - >seq558	superfamily	413489	460	642	1.21159e-41	150824	cl02808	RT_like superfamily	 - 	 - 
Q#558 - >seq558	superfamily	417494	736	856	2.95002e-34	127609	cl14782	RNase_H_like superfamily	 - 	 - 
Q#558 - >seq558	superfamily	407771	963	1021	1.73199e-12	63435	cl39036	Integrase_H2C2 superfamily	 - 	 - 
Q#558 - >seq558	superfamily	416259	83	169	2.46357e-11	61.1984	cl11403	pepsin_retropepsin_like superfamily	 - 	 - 
Q#558 - >seq558	superfamily	411202	1046	1145	6.47184e-09	58.7564	cl41329	transpos_IS481 superfamily	N	 - 
Q#560 - >seq560	superfamily	223021	10	446	1.51652e-10	63.8041	cl33720	PHA03247 superfamily	N	 - 
Q#569 - >seq569	superfamily	421881	350	439	8.99837e-06	44.6305	cl29674	Retrotrans_gag superfamily	 - 	 - 
Q#569 - >seq569	superfamily	293674	573	697	3.67929e-05	46.3071	cl26279	RSRP superfamily	C	 - 
Q#569 - >seq569	superfamily	197667	726	741	0.00329992	35.4968	cl33244	ZnF_C2HC superfamily	 - 	 - 
Q#570 - >seq570	superfamily	413489	433	630	1.2319e-38	142349	cl02808	RT_like superfamily	 - 	 - 
Q#570 - >seq570	superfamily	417494	725	847	4.12946e-34	127224	cl14782	RNase_H_like superfamily	 - 	 - 
Q#570 - >seq570	superfamily	411202	1123	1253	2.34583e-14	75.3199	cl41329	transpos_IS481 superfamily	N	 - 
Q#570 - >seq570	superfamily	416259	79	165	3.41555e-11	60.8132	cl11403	pepsin_retropepsin_like superfamily	 - 	 - 
Q#570 - >seq570	superfamily	407771	1061	1119	4.16115e-11	59583	cl39036	Integrase_H2C2 superfamily	 - 	 - 
Q#571 - >seq571	superfamily	418438	56	96	4.65286e-07	43.0422	cl17238	RING_Ubox superfamily	 - 	 - 
Q#584 - >seq584	superfamily	408478	699	792	1.97635e-47	163028	cl40017	DUF5641 superfamily	 - 	 - 
Q#592 - >seq592	superfamily	418438	93	130	0.000650775	36.4938	cl17238	RING_Ubox superfamily	 - 	 - 
Q#595 - >seq595	superfamily	413489	63	229	2.24965e-28	106607	cl02808	RT_like superfamily	C	 - 
Q#600 - >seq600	superfamily	237171	633	868	1.28309e-08	58.7619	cl36163	PRK12678 superfamily	C	 - 
Q#600 - >seq600	superfamily	282904	137	403	0.000662085	43.3664	cl37540	Herpes_BLLF1 superfamily	N	 - 
Q#600 - >seq600	superfamily	197667	874	889	0.0022103	35882	cl33244	ZnF_C2HC superfamily	 - 	 - 
Q#601 - >seq601	superfamily	413489	471	657	5.41794e-43	154676	cl02808	RT_like superfamily	 - 	 - 
Q#601 - >seq601	superfamily	417494	751	872	3.25156e-35	130305	cl14782	RNase_H_like superfamily	 - 	 - 
Q#601 - >seq601	superfamily	407771	976	1035	7.96004e-14	67287	cl39036	Integrase_H2C2 superfamily	 - 	 - 
Q#601 - >seq601	superfamily	411202	1058	1168	3.03561e-11	65.6899	cl41329	transpos_IS481 superfamily	N	 - 
Q#601 - >seq601	superfamily	416259	101	186	5.00069e-11	60428	cl11403	pepsin_retropepsin_like superfamily	 - 	 - 
Q#623 - >seq623	superfamily	418438	20	56	3.06745e-08	47.2794	cl17238	RING_Ubox superfamily	 - 	 - 
Q#628 - >seq628	superfamily	371998	147	241	9.66409e-10	59.5863	cl13666	Baculo_F superfamily	NC	 - 
Q#635 - >seq635	superfamily	197667	248	263	0.00159632	35.1116	cl33244	ZnF_C2HC superfamily	 - 	 - 
Q#636 - >seq636	superfamily	413489	197	296	1.90376e-44	149283	cl02808	RT_like superfamily	C	 - 
Q#637 - >seq637	superfamily	407769	114	212	6.69693e-43	139547	cl39038	RT_RNaseH_2 superfamily	 - 	 - 
Q#637 - >seq637	superfamily	413489	1	51	6.09988e-10	56.0645	cl02808	RT_like superfamily	N	 - 
Q#645 - >seq645	superfamily	413489	51	134	7.71728e-31	109607	cl02808	RT_like superfamily	C	 - 
Q#646 - >seq646	superfamily	417494	176	291	4.90448e-60	198.1	cl14782	RNase_H_like superfamily	 - 	 - 
Q#646 - >seq646	superfamily	413489	1	82	2.74547e-36	134645	cl02808	RT_like superfamily	N	 - 
Q#646 - >seq646	superfamily	407771	408	463	3.12938e-13	64.5906	cl39036	Integrase_H2C2 superfamily	 - 	 - 
Q#646 - >seq646	superfamily	411202	460	593	8.60274e-07	51.0524	cl41329	transpos_IS481 superfamily	N	 - 
