Sequence	LTR5	LTR3	TSR	PPT	pos_gag	pos_protease	pos_rnase	pos_rt	pos_integrase	pos_transposase
anopheles_stephensi_NC_050201.1:19895175-19917043	NA	NA	NA	NA	15968-15627, 15623-15312	2055-2369, 7094-11899, 21848-19416, 13853-13317	2388-5174, 17625-16714	2388-5174, 7094-11899, 21848-19416, 18037-17603, 17625-16714	2388-5174, 7094-11899, 19409-18666	NA
anopheles_stephensi_NC_050202.1:82482790-82504802	NA	NA	NA	NA	14851-10001	NA	NA	NA	NA	NA
anopheles_stephensi_NC_050203.1:46573021-46594763	NA	NA	NA	NA	15506-14682	14540-14226	NA	NA	13802-13233	NA
anopheles_stephensi_NC_050203.1:77813456-77835468	NA	NA	NA	NA	7163-12013	NA	NA	NA	NA	NA
anopheles_stephensi_NW_023404986.1:42165-63907	NA	NA	NA	NA	4-1068, 14277-13837	NA	NA	3694-5574	NA	NA
anopheles_stephensi_NW_023405001.1:1-15558	NA	NA	NA	NA	708-5558, 8630-6648	NA	NA	8630-6648	NA	8630-6648
anopheles_stephensi_NW_023405363.1:19663-41591	3564:4401	11988:12823	3559:3563/12824:12828	11973:11987	5099-10621	5099-10621	14634-17003	17-742, 436-1329, 5099-10621, 14634-17003	5099-10621, 17003-17740	NA
aphis_craccivora_VUJU01003749.1:1-20969	11:352	11924:12262	7:10/12263:12266	11824:11838	NA	NA	NA	NA	NA	NA
aphis_glycines_VYZN01000008.1:2582231-2603742	NA	NA	NA	NA	NA	NA	NA	NA	NA	13145-15073, 19759-20265, 3600-2788
aphis_glycines_VYZN01003027.1:13334-34851	NA	NA	NA	NA	NA	2-2623	5208-8009	2-2623, 5208-8009	2-2623, 7975-8511	NA
aphis_gossypii_NW_021006118.1:1222-23162	NA	NA	NA	NA	17887-16604	16634-12252	16634-12252	16634-12252	16634-12252	16634-12252
bemisia_tabaci_NW_017547116.1:2545645-2567591	NA	NA	NA	NA	18781-16667	16502-13242	16502-13242	16502-13242	16502-13242	NA
bemisia_tabaci_NW_017547118.1:1876453-1898399	NA	NA	NA	NA	3171-5282	5513-9460	5513-9460	5513-9460	5513-9460	5513-9460
bemisia_tabaci_NW_017547204.1:782040-803803	7275:7814	18994:19534	7271:7274/19535:19538	18941:18955	18243-16210	16246-12182	16246-12182	16246-12182	16246-12182	16246-12182
bemisia_tabaci_NW_017547602.1:14156-35919	NA	NA	NA	NA	NA	16242-12178	16242-12178	16242-12178	16242-12178	16242-12178
bemisia_tabaci_NW_017547915.1:1896286-1918223	NA	NA	NA	NA	19296-17059	17083-12719	17083-12719	17083-12719	17083-12719	17083-12719
bemisia_tabaci_NW_017548708.1:2458834-2480771	NA	NA	NA	NA	NA	NA	NA	16576-15887	NA	NA
bemisia_tabaci_NW_017557114.1:1-16994	NA	NA	NA	NA	NA	3726-7853	3726-7853	3726-7853	3726-7853	3726-7853
bemisia_tabaci_NW_017564154.1:1028221-1050095	7039:7260	12399:12620	7034:7038/12621:12625	7305:7319	NA	NA	NA	NA	NA	NA
bombus_bifarius_NW_022884553.1:1-14469	NA	NA	NA	NA	NA	NA	652-2	1614-688, 652-2	NA	NA
bombus_bifarius_NW_022884557.1:1-11513	NA	NA	NA	NA	NA	NA	10648-8378, 6291-4171	11094-10606, 10648-8378	10648-8378, 6291-4171	10648-8378
bombus_bifarius_NW_022884559.1:1-11488	NA	NA	NA	NA	NA	NA	10653-8383, 6296-4176	11372-10611, 10653-8383	10653-8383, 6296-4176	10653-8383
bombus_bifarius_NW_022884564.1:7354-22960	NA	NA	NA	NA	NA	NA	15473-13377	NA	15473-13377	NA
bombus_bifarius_NW_022884582.1:1-14523	NA	NA	NA	NA	NA	3765-1	3765-1	3765-1	14423-13068, 3765-1	NA
bombus_bifarius_NW_022884599.1:75231-96088	NA	NA	NA	NA	NA	NA	3927-7067	3927-7067	3927-7067	NA
bombus_bifarius_NW_022884610.1:1-13567	NA	NA	NA	NA	NA	5359-1259	5359-1259	5359-1259, 438-1	13557-12442, 5359-1259	12442-11846
bombus_bifarius_NW_022884641.1:271486-292208	NA	NA	NA	NA	NA	NA	NA	15838-14468	NA	NA
bombus_bifarius_NW_022884655.1:1-17956	8134:8566	11283:11715	8128:8133/11716:11721	8600:8614	3783-2830	11139-8635	16329-14209, 11139-8635	NA	16329-14209, 11139-8635	NA
bombus_bifarius_NW_022884841.1:1-11958	6320:7131	10120:10931	6314:6319/10932:10937	10093:10107	NA	7075-8628	NA	NA	8597-9469	NA
bombus_bifarius_NW_022884848.1:1-14851	NA	NA	NA	NA	NA	NA	NA	9841-8624	NA	NA
bombus_bifarius_NW_022885224.1:1-15979	NA	NA	NA	NA	NA	NA	15825-14473, 14275-13079	104-472, 15825-14473	14275-13079, 13009-12155	NA
bombus_bifarius_NW_022885323.1:1-11880	NA	NA	NA	NA	NA	NA	6670-4589	NA	6670-4589	NA
bombus_bifarius_NW_022885338.1:5300-23745	NA	NA	NA	NA	NA	NA	15632-13512	NA	15632-13512	18393-17932
bombus_bifarius_NW_022885339.1:1-13105	NA	NA	NA	NA	NA	NA	13075-11444, 11456-9963, 7876-5756	13075-11444	11456-9963, 7876-5756	11456-9963
bombus_bifarius_NW_022885344.1:2438-16930	NA	NA	NA	NA	NA	5887-1787	5887-1787	5887-1787, 1454-336	14440-13541, 5887-1787	NA
bombus_bifarius_NW_022885345.1:1-14185	NA	NA	NA	NA	NA	3893-3	13634-11862, 3893-3	3893-3	13634-11862, 3893-3	NA
bombus_bifarius_NW_022885346.1:1-11907	NA	NA	NA	NA	NA	NA	6713-4593	NA	6713-4593	NA
bombus_bifarius_NW_022885365.1:19196-40053	NA	NA	NA	NA	NA	NA	NA	6020-7237	NA	NA
bombus_bifarius_NW_022885401.1:6287-19742	NA	NA	NA	NA	NA	2750-5002	2750-5002, 5197-7317	2750-5002	5197-7317	NA
bombus_bifarius_NW_022885402.1:1-15102	NA	NA	NA	NA	NA	9513-13601	9513-13601	9513-13601, 13934-15052	223-1365, 9513-13601	NA
bombus_bifarius_NW_022885403.1:1-14034	NA	NA	NA	NA	NA	8449-11559	8449-11559	8449-11559, 12875-13993	8449-11559, 11526-12542	NA
bombus_bifarius_NW_022885405.1:1-18469	NA	NA	NA	NA	NA	17462-15285	17462-15285, 14305-12185	17462-15285	14305-12185	NA
bombus_bifarius_NW_022885409.1:784-15474	NA	NA	NA	NA	NA	NA	NA	NA	14648-14268	14095-13538
bombus_bifarius_NW_022885410.1:1-14875	NA	NA	NA	NA	NA	NA	14843-11730, 9643-8123	14843-11730	14843-11730, 9643-8123	14843-11730, 8123-7779
bombus_bifarius_NW_022885411.1:1-12765	NA	NA	NA	NA	NA	NA	12736-9623, 7536-5416	12736-9623	12736-9623, 7536-5416	12736-9623
bombus_bifarius_NW_022885418.1:697-14149	NA	NA	NA	NA	NA	NA	5092-3152	2819-1701	5092-3152	NA
bombus_bifarius_NW_022885439.1:1-13926	NA	NA	NA	NA	NA	13025-10746	13025-10746, 10551-8431	13025-10746	10551-8431	NA
bombus_bifarius_NW_022885454.1:4926-25783	NA	NA	NA	NA	NA	18144-17179	16193-14031	17204-16800, 16848-16162	16193-14031	16193-14031
bombus_bifarius_NW_022885480.1:1-12867	NA	NA	NA	NA	NA	NA	NA	6845-5628	NA	NA
bombus_bifarius_NW_022885480.1:3762-20552	NA	NA	NA	NA	NA	NA	NA	14836-13619	NA	NA
bombus_bifarius_NW_022885481.1:128-20985	NA	NA	NA	NA	NA	NA	NA	14836-13703	NA	NA
bombus_bifarius_NW_022885483.1:3823-21189	NA	NA	NA	NA	NA	NA	4240-5349	NA	5422-6135	NA
bombus_bifarius_NW_022885512.1:2706-16794	NA	NA	NA	NA	NA	NA	NA	1573-572	NA	NA
bombus_bifarius_NW_022885519.1:1-17853	NA	NA	NA	NA	NA	NA	137-1396, 1342-2766	137-1396, 12155-10938	1342-2766	NA
bombus_bifarius_NW_022885541.1:305-21162	NA	NA	NA	NA	NA	NA	15632-14523	NA	14450-13737	NA
bombus_vancouverensis_nearcticus_NW_022881837.1:2409838-2428486	NA	NA	NA	NA	NA	NA	16975-13937	16975-13937, 2437-1319	16975-13937	NA
bombus_vancouverensis_nearcticus_NW_022881867.1:409639-422058	NA	NA	NA	NA	NA	5182-1082	5182-1082	5182-1082	5182-1082	NA
bombus_vancouverensis_nearcticus_NW_022881884.1:207030-223380	NA	NA	NA	NA	NA	NA	16219-15872	5648-4530	15821-14106	15821-14106
bombus_vancouverensis_nearcticus_NW_022881947.1:9749-31125	NA	NA	NA	NA	NA	NA	21374-18261, 16174-15827	21374-18261, 5809-5216	21374-18261, 15776-14061	21374-18261, 15776-14061
bombus_vancouverensis_nearcticus_NW_022881977.1:1-14772	NA	NA	NA	NA	NA	NA	9167-9760	9167-9760	NA	27-623
bombus_vancouverensis_nearcticus_NW_022881993.1:1-17749	NA	NA	NA	NA	NA	13622-17716	3182-3772, 13622-17716	13622-17716	3934-4527, 13622-17716	250-1101, 4700-5296
bombus_vancouverensis_nearcticus_NW_022882008.1:43925-65301	NA	NA	NA	NA	NA	2997-3740	4028-7240	4028-7240	4028-7240	NA
bombus_vancouverensis_nearcticus_NW_022882008.1:44255-64767	NA	NA	NA	NA	NA	2667-3410	3698-6910	3698-6910	3698-6910	NA
bombus_vancouverensis_nearcticus_NW_022882137.1:1-20247	NA	NA	NA	NA	NA	19978-16571, 5715-3436	19978-16571, 14484-13258, 5715-3436	19978-16571, 5715-3436	19978-16571, 14484-13258, 13218-12364	19978-16571
bombus_vancouverensis_nearcticus_NW_022882137.1:16459-37892	NA	NA	NA	NA	NA	21167-17760, 6891-5809	21167-17760, 15672-14446, 5816-4611	21167-17760, 5816-4611	21167-17760, 15672-14446, 14406-13552	21167-17760
bombus_vancouverensis_nearcticus_NW_022882137.1:34102-45802	NA	NA	NA	NA	NA	6895-5813, 3524-117	5820-4615, 3524-117	5820-4615, 3524-117	3524-117	3524-117
bombus_vancouverensis_nearcticus_NW_022882160.1:24381-45637	3304:4115	9013:9824	3298:3303/9825:9830	4128:4142	NA	9069-4969	9069-4969	9069-4969	9069-4969	NA
bombus_vancouverensis_nearcticus_NW_022882180.1:1-12952	NA	NA	NA	NA	NA	NA	7256-7849	7256-7849	NA	NA
bombus_vancouverensis_nearcticus_NW_022882194.1:1-11680	NA	NA	NA	NA	NA	NA	NA	6291-5722	NA	NA
bombus_vancouverensis_nearcticus_NW_022882231.1:1-16829	NA	NA	NA	NA	NA	NA	NA	4110-6023	NA	NA
bombus_vancouverensis_nearcticus_NW_022882231.1:146-16829	NA	NA	NA	NA	NA	NA	NA	3965-5878	NA	NA
bombus_vancouverensis_nearcticus_NW_022882237.1:1-18716	10005:10816	15550:16360	10001:10004/16361:16364	15523:15537	NA	10760-14860	10760-14860	3906-4799, 10760-14860	10760-14860	NA
bombus_vancouverensis_nearcticus_NW_022882269.1:5423-24771	NA	NA	NA	NA	NA	2789-4132	4739-6967	2789-4132, 4084-4770, 17897-18790	4739-6967	NA
bombus_vancouverensis_nearcticus_NW_022882294.1:4813-25670	NA	NA	NA	NA	NA	NA	NA	15159-14266	NA	NA
bombus_vancouverensis_nearcticus_NW_022882295.1:1-16921	NA	NA	NA	NA	NA	NA	NA	11222-10530	NA	NA
bombus_vancouverensis_nearcticus_NW_022882296.1:1-19235	NA	NA	NA	NA	NA	NA	18579-17941	19184-18825, 13194-12301	NA	NA
bombus_vancouverensis_nearcticus_NW_022882367.1:14520-35092	NA	NA	NA	NA	NA	NA	20535-19723, 16193-14073	20535-19723, 3620-3096	19668-18265, 16193-14073	19668-18265
bombus_vancouverensis_nearcticus_NW_022882383.1:30237-42854	NA	NA	NA	NA	NA	NA	NA	2961-2596	NA	NA
bombus_vancouverensis_nearcticus_NW_022882384.1:14074-35507	NA	NA	NA	NA	NA	NA	21420-18307, 16220-15873	21420-18307, 3003-2638	21420-18307, 15822-14107	21420-18307, 15822-14107
bombus_vancouverensis_nearcticus_NW_022882401.1:44430-58075	NA	NA	NA	NA	NA	NA	NA	5706-6398	NA	NA
bombus_vancouverensis_nearcticus_NW_022882402.1:5086-25943	NA	NA	NA	NA	NA	NA	NA	5705-6922	16215-15175	NA
bombus_vancouverensis_nearcticus_NW_022882403.1:1-11042	NA	NA	NA	NA	NA	NA	NA	7297-7866	6312-5272	NA
bombus_vancouverensis_nearcticus_NW_022882403.1:1912-22448	NA	NA	NA	NA	NA	NA	NA	5386-5955	4401-3361	NA
bombus_vancouverensis_nearcticus_NW_022882514.1:51423-70215	NA	NA	NA	NA	NA	NA	34-3147, 5234-5581	34-3147	34-3147, 5632-7347	34-3147, 5632-7347
bombus_vancouverensis_nearcticus_NW_022882515.1:1-19735	NA	NA	NA	NA	NA	NA	379-981, 4124-4471	NA	4522-6237	1228-2037, 4522-6237
bombus_vancouverensis_nearcticus_NW_022882515.1:1-20326	NA	NA	NA	NA	NA	NA	379-981, 4124-4471	NA	4522-6237	1228-2037, 4522-6237
bombus_vancouverensis_nearcticus_NW_022882515.1:36476-51629	NA	NA	NA	NA	NA	6286-2192	6286-2192	6286-2192, 1859-741	15147-14044, 6286-2192	15147-14044
bombus_vancouverensis_nearcticus_NW_022882562.1:578629-600062	NA	NA	NA	NA	NA	2748-5027, 14107-17940	2748-5027, 5222-7342, 14107-17940	2748-5027, 14107-17940	5222-7342, 14107-17940	NA
bombus_vancouverensis_nearcticus_NW_022882574.1:1-18559	11791:12747	17442:18398	11785:11790/18399:18404	12760:12774	NA	17504-13428	17504-13428	2140-3549, 17504-13428	17504-13428	NA
bombus_vancouverensis_nearcticus_NW_022882580.1:1-12124	NA	NA	NA	NA	NA	NA	814-1161	NA	1212-2927	1212-2927
bombus_vancouverensis_nearcticus_NW_022882628.1:1-14833	NA	NA	NA	NA	NA	9036-13130	9036-13130	9036-13130, 13463-14581	9036-13130	122-718
bombus_vancouverensis_nearcticus_NW_022882664.1:1-18886	NA	NA	NA	NA	NA	12595-16689	2734-3081, 12595-16689	12595-16689, 17022-18140	3908-4846, 12595-16689	30-662, 3908-4846
bombus_vancouverensis_nearcticus_NW_022882666.1:1-18922	NA	NA	NA	NA	NA	NA	NA	4082-5299	NA	NA
bombus_vancouverensis_nearcticus_NW_022882666.1:21805-39612	NA	NA	NA	NA	NA	NA	NA	5650-7236	NA	NA
bombus_vancouverensis_nearcticus_NW_022882666.1:9959-30816	NA	NA	NA	NA	NA	NA	NA	17496-19082	NA	NA
bombus_vancouverensis_nearcticus_NW_022882673.1:49046-70479	NA	NA	NA	NA	NA	NA	21425-18312, 16242-15895	21425-18312, 2967-2602	21425-18312, 15844-14129	21425-18312, 15844-14129
bombus_vancouverensis_nearcticus_NW_022882772.1:20368-41225	580:1565	6157:7143	576:579/7144:7147	6101:6115	NA	NA	3167-4030	3167-4030, 14853-13810	4244-4627	NA
bombus_vancouverensis_nearcticus_NW_022882772.1:32113-51031	NA	NA	NA	NA	NA	NA	NA	3108-2065	NA	NA
bombus_vancouverensis_nearcticus_NW_022882833.1:12866-26312	NA	NA	NA	NA	NA	NA	NA	5668-6930	NA	NA
bombus_vancouverensis_nearcticus_NW_022882833.1:13205-26312	NA	NA	NA	NA	NA	NA	NA	5329-6591	NA	NA
bombus_vancouverensis_nearcticus_NW_022882833.1:212-21054	NA	NA	NA	NA	NA	NA	NA	5714-6931, 18322-19584	NA	NA
bombus_vancouverensis_nearcticus_NW_022882834.1:1-20323	NA	NA	NA	NA	NA	NA	NA	18175-19392	NA	NA
bombus_vancouverensis_nearcticus_NW_022882835.1:1-12512	NA	NA	NA	NA	NA	NA	NA	10361-11578	NA	NA
bombus_vancouverensis_nearcticus_NW_022882835.1:4326-25168	NA	NA	NA	NA	NA	NA	NA	6036-7253	NA	NA
bombus_vancouverensis_nearcticus_NW_022882856.1:1-19012	NA	NA	NA	NA	NA	NA	NA	14420-13158, 1382-165	NA	NA
bombus_vancouverensis_nearcticus_NW_022882857.1:1-20291	NA	NA	NA	NA	NA	NA	NA	14563-13346	NA	NA
bombus_vancouverensis_nearcticus_NW_022882857.1:12447-23609	NA	NA	NA	NA	NA	NA	NA	2117-900	NA	NA
bombus_vancouverensis_nearcticus_NW_022882859.1:1-12782	NA	NA	NA	NA	NA	NA	NA	7086-5869	8071-9111	NA
bombus_vancouverensis_nearcticus_NW_022882859.1:3341-22699	NA	NA	NA	NA	NA	NA	NA	3746-2529	4731-5771	NA
bombus_vancouverensis_nearcticus_NW_022882864.1:1359-14781	NA	NA	NA	NA	NA	NA	NA	5382-5951	NA	NA
bombus_vancouverensis_nearcticus_NW_022882880.1:3091-23198	NA	NA	NA	NA	NA	NA	NA	15214-13628	NA	NA
bombus_vancouverensis_nearcticus_NW_022882892.1:1-15959	NA	NA	NA	NA	NA	NA	NA	9942-8725	NA	NA
bombus_vancouverensis_nearcticus_NW_022882902.1:1-16141	NA	NA	NA	NA	NA	NA	NA	11224-9815	NA	NA
bombus_vancouverensis_nearcticus_NW_022882917.1:1-11603	NA	NA	NA	NA	NA	NA	NA	5906-4689	NA	NA
bombus_vancouverensis_nearcticus_NW_022882917.1:3726-23367	NA	NA	NA	NA	NA	NA	NA	14811-13594	NA	NA
camponotus_floridanus_NW_020229222.1:647273-668172	5820:7757	18439:20370	5816:5819/20371:20374	7815:7829	NA	16886-14445	14461-12365	16886-14445, 14461-12365	2592-2993, 14461-12365	NA
camponotus_floridanus_NW_020229231.1:448380-469279	NA	NA	NA	NA	NA	NA	NA	NA	7998-8510	NA
camponotus_floridanus_NW_020229251.1:512233-533129	NA	NA	NA	NA	NA	NA	NA	NA	12873-12082	12873-12082, 1567-887
camponotus_floridanus_NW_020229252.1:317397-338302	NA	NA	NA	NA	NA	NA	NA	NA	6214-6924	NA
camponotus_floridanus_NW_020229252.1:396893-417804	7141:9518	17290:19667	7137:7140/19668:19671	9599:9613	20473-19892	6981-6523	15423-11743	15423-11743	15423-11743	NA
camponotus_floridanus_NW_020229252.1:444593-461608	NA	NA	NA	NA	NA	NA	5490-9170	5490-9170	5490-9170	NA
camponotus_floridanus_NW_020229254.1:115719-136612	NA	NA	NA	NA	NA	NA	NA	15049-14075	12792-12391	6774-7478
camponotus_floridanus_NW_020229269.1:357946-378845	NA	NA	NA	NA	NA	NA	7140-7511	6194-6766	7722-8489	8432-8740
camponotus_floridanus_NW_020229275.1:7923-28705	NA	NA	NA	NA	NA	NA	5634-7133, 7161-7523	5634-7133	8130-9158, 18780-17881	8130-9158
camponotus_floridanus_NW_020229290.1:29976-50791	NA	NA	NA	NA	NA	NA	6750-9170	5491-6672	6750-9170	NA
camponotus_floridanus_NW_020229290.1:322260-343162	NA	NA	NA	NA	20834-20049	20026-19220, 17575-16088	6948-8534	6948-8534, 18635-18312	6948-8534, 17575-16088	128-889, 6948-8534
camponotus_floridanus_NW_020229290.1:5276-26187	NA	NA	NA	NA	NA	NA	15423-11743	15423-11743	15423-11743	NA
camponotus_floridanus_NW_020229304.1:113108-133923	NA	NA	NA	NA	NA	NA	5953-6906	4961-5818, 5953-6906, 14392-15783, 20532-17890	NA	NA
camponotus_floridanus_NW_020229320.1:149190-170050	NA	NA	NA	NA	NA	NA	17653-15158	17653-15158	17653-15158	15118-14267
camponotus_floridanus_NW_020229320.1:237088-257999	NA	NA	NA	NA	NA	NA	17590-13910	17590-13910	17590-13910	NA
camponotus_floridanus_NW_020229320.1:267838-288749	NA	NA	NA	NA	NA	NA	5490-9170	5490-9170	5490-9170	NA
camponotus_floridanus_NW_020229320.1:277700-297076	NA	NA	NA	NA	NA	NA	17694-15904	17694-15904	NA	15118-14267
camponotus_floridanus_NW_020229332.1:101402-122313	NA	NA	NA	NA	NA	NA	44-3559	44-3559	44-3559	NA
camponotus_floridanus_NW_020229332.1:14756-35616	NA	NA	NA	NA	NA	NA	NA	NA	NA	5656-6591
camponotus_floridanus_NW_020229332.1:67581-88441	NA	NA	NA	NA	NA	NA	NA	NA	15359-14268	15359-14268
camponotus_floridanus_NW_020229332.1:95791-116702	NA	NA	NA	NA	NA	NA	5490-9170	5490-9170	5490-9170	NA
camponotus_floridanus_NW_020229343.1:1-19222	NA	NA	NA	NA	NA	NA	1646-4879	696-1655, 1646-4879	1646-4879, 18305-19222	1646-4879, 18305-19222
camponotus_floridanus_NW_020229343.1:26825-47685	NA	NA	NA	NA	NA	NA	18250-14270	18250-14270	18250-14270	18250-14270
camponotus_floridanus_NW_020229345.1:5840-26700	6225:6575, 6259:6404	20500:20849, 20534:20679	6221:6224/20850:20853, 6254:6258/20680:20684	20456:20470	NA	18236-14271	18236-14271	18236-14271	18236-14271	18236-14271
camponotus_floridanus_NW_020229349.1:103302-124162	NA	NA	NA	NA	NA	NA	NA	NA	13473-14189	13473-14189
camponotus_floridanus_NW_020229357.1:181227-202006	674:2641	15172:17112	670:673/17113:17116	15100:15114	NA	NA	6831-7730	6155-6781	8032-8643, 13088-14092	13088-14092
camponotus_floridanus_NW_020229362.1:110568-131479	1366:3623	11395:13653	1362:1365/13654:13657	11300:11314	NA	NA	5654-9169, 17492-17800, 17809-18138	5654-9169, 16900-17559, 17492-17800	5654-9169, 13809-14735	13809-14735
camponotus_floridanus_NW_020229362.1:88304-109215	16321:17321	19799:20801	16316:16320/20802:20806	19758:19772	NA	NA	6204-9170	6204-9170	6204-9170	NA
camponotus_floridanus_NW_020229378.1:148326-169102	NA	NA	NA	NA	NA	19474-20775	NA	19474-20775	NA	NA
camponotus_floridanus_NW_020229378.1:165877-186782	22:571	17940:18489	NOTFOUND	17864:17878	NA	1923-6176	1923-6176	1923-6176	1923-6176	1923-6176
camponotus_floridanus_NW_020229383.1:29927-50832	NA	NA	NA	NA	NA	1108-1413	NA	NA	NA	NA
camponotus_floridanus_NW_020229383.1:79656-100561	NA	NA	NA	NA	NA	NA	NA	NA	NA	6091-7173
camponotus_floridanus_NW_020229383.1:99533-120438	NA	NA	NA	NA	NA	18907-16121	18907-16121	18907-16121	16182-15718, 15727-14786	7584-8666
camponotus_floridanus_NW_020229391.1:149718-170578	NA	NA	NA	NA	17965-13982	17965-13982	NA	17965-13982	17965-13982	6144-7124
camponotus_floridanus_NW_020229409.1:22949-43860	NA	NA	NA	NA	NA	NA	15423-11743	15423-11743	15423-11743	20481-20912
camponotus_floridanus_NW_020229426.1:10776-31636	NA	NA	NA	NA	NA	NA	19170-17077	19170-17077	17019-15463	17019-15463
camponotus_floridanus_NW_020229429.1:106975-127877	NA	NA	NA	NA	NA	NA	NA	NA	NA	4168-3086
camponotus_floridanus_NW_020229451.1:18954-39814	NA	NA	NA	NA	NA	2627-5704	2627-5704	2627-5704	2627-5704	5647-6591
camponotus_floridanus_NW_020229451.1:57990-78895	NA	NA	NA	NA	NA	3209-4567	NA	3209-4567	NA	NA
camponotus_floridanus_NW_020229454.1:97550-116311	NA	NA	NA	NA	NA	2121-5366	2121-5366	2121-5366	2121-5366, 5351-6148	NA
camponotus_floridanus_NW_020229461.1:46269-67174	NA	NA	NA	NA	NA	NA	NA	NA	4614-6152	4614-6152, 14032-12899
camponotus_floridanus_NW_020229461.1:62557-83462	2521:3086	20332:20897	NOTFOUND	3160:3174	NA	18980-14736	18980-14736	18980-14736	18980-14736	18980-14736
camponotus_floridanus_NW_020229474.1:1-15002	NA	NA	NA	NA	NA	NA	NA	NA	9579-8782	NA
camponotus_floridanus_NW_020229474.1:40818-61723	NA	NA	NA	NA	NA	NA	20813-20241	NA	19567-18497	45-1127, 19567-18497, 14941-13682
camponotus_floridanus_NW_020229489.1:45107-66012	NA	NA	NA	NA	NA	NA	4917-1888	4917-1888	4917-1888	NA
camponotus_floridanus_NW_020229490.1:137965-158750	NA	NA	NA	NA	NA	NA	20716-16958	20716-16958	14318-14860, 20716-16958	13780-14418, 20716-16958
camponotus_floridanus_NW_020229495.1:38502-59413	NA	NA	NA	NA	NA	6323-3765	15258-11743, 6323-3765	15258-11743, 6323-3765	15258-11743	NA
camponotus_floridanus_NW_020229495.1:8771-29676	NA	NA	NA	NA	NA	NA	20880-17032	20880-17032	20880-17032	NA
camponotus_floridanus_NW_020229499.1:1-19462	NA	NA	NA	NA	NA	1229-2494	2416-5193, 13863-15176	1229-2494, 2416-5193	2416-5193, 13863-15176, 15079-15999	2416-5193
camponotus_floridanus_NW_020229499.1:64051-84956	2792:3334	20331:20873	NOTFOUND	3386:3400	NA	18979-18392	17671-14726	17671-14726	17671-14726	17671-14726
camponotus_floridanus_NW_020229499.1:6828-27739	NA	NA	NA	NA	NA	NA	7036-8349	NA	7036-8349, 8252-9172	NA
camponotus_floridanus_NW_020229507.1:10799-31704	NA	NA	NA	NA	NA	NA	NA	NA	20716-19253	20716-19253
camponotus_floridanus_NW_020229515.1:55631-76536	NA	NA	NA	NA	NA	2114-4258	2114-4258	2114-4258, 18545-19588	5067-6134	5067-6134
camponotus_floridanus_NW_020229517.1:10660-31571	NA	NA	NA	NA	NA	2672-6700	2672-6700, 15423-11743	2672-6700, 15423-11743	2672-6700, 15423-11743	2672-6700
camponotus_floridanus_NW_020229517.1:23470-44309	NA	NA	NA	NA	NA	NA	2613-1	2613-1	NA	NA
camponotus_floridanus_NW_020229527.1:31770-52675	NA	NA	NA	NA	NA	NA	NA	NA	NA	9159-8191
camponotus_floridanus_NW_020229535.1:1-19411	NA	NA	NA	NA	NA	2701-6798	2701-6798	2701-6798	2701-6798	6805-7662
camponotus_floridanus_NW_020229537.1:19123-40028	NA	NA	NA	NA	NA	NA	NA	NA	NA	7785-8315
