order,family,specie,sequence,class/family,begin,end
Hymenoptera,Apidae,Eufriesea mexicana,NW_016908258.1:98345-108345,Simple_repeat,7711,7839
Hymenoptera,Apidae,Eufriesea mexicana,NW_016908258.1:98345-108345,Simple_repeat,7867,7921
Hymenoptera,Apidae,Eufriesea mexicana,NW_016909960.1:387550-397550,Simple_repeat,2071,2122
Hymenoptera,Apidae,Eufriesea mexicana,NW_016909960.1:387550-397550,Simple_repeat,2858,2903
Hymenoptera,Apidae,Eufriesea mexicana,NW_016909960.1:387550-397550,LTR/Gypsy,6775,7099
Hymenoptera,Apidae,Eufriesea mexicana,NW_016909960.1:387550-397550,Simple_repeat,7851,7880
Hymenoptera,Apidae,Eufriesea mexicana,NW_016909960.1:398741-408741,Simple_repeat,1407,1426
Hymenoptera,Apidae,Eufriesea mexicana,NW_016909960.1:398741-408741,LTR/Gypsy,2205,2840
Hymenoptera,Apidae,Eufriesea mexicana,NW_016909960.1:398741-408741,Simple_repeat,8721,8747
Hymenoptera,Apidae,Eufriesea mexicana,NW_016909960.1:398741-408741,Simple_repeat,8875,8937
Hymenoptera,Apidae,Eufriesea mexicana,NW_016914852.1:19459-29459,LTR/Gypsy,2828,3782
Hymenoptera,Apidae,Eufriesea mexicana,NW_016914852.1:19459-29459,LTR/Gypsy,3782,3822
Hymenoptera,Apidae,Eufriesea mexicana,NW_016914852.1:19459-29459,LTR/Gypsy,3852,4143
Hymenoptera,Apidae,Eufriesea mexicana,NW_016914852.1:19459-29459,LTR/Gypsy,4864,5047
Hymenoptera,Apidae,Eufriesea mexicana,NW_016914852.1:19459-29459,Simple_repeat,7371,7408
Hymenoptera,Apidae,Eufriesea mexicana,NW_016914852.1:19459-29459,Low_complexity,8002,8077
Hymenoptera,Apidae,Eufriesea mexicana,NW_016914852.1:8187-18187,Simple_repeat,179,200
Hymenoptera,Apidae,Eufriesea mexicana,NW_016914852.1:8187-18187,Low_complexity,463,491
Hymenoptera,Apidae,Eufriesea mexicana,NW_016914852.1:8187-18187,LTR/Gypsy,2515,2749
Hymenoptera,Apidae,Eufriesea mexicana,NW_016914852.1:8187-18187,LTR/Gypsy,4786,5047
Hymenoptera,Apidae,Eufriesea mexicana,NW_016914852.1:8187-18187,LTR/Gypsy,5215,5932
Hymenoptera,Apidae,Eufriesea mexicana,NW_016922283.1:1589512-1599512,Simple_repeat,6900,6921
Hymenoptera,Apidae,Eufriesea mexicana,NW_016922283.1:1589512-1599512,LTR/Gypsy,7270,7551
Hymenoptera,Apidae,Eufriesea mexicana,NW_016922283.1:1589512-1599512,LTR/Gypsy,8040,8166
Hymenoptera,Apidae,Eufriesea mexicana,NW_016922283.1:1600781-1610781,LTR/Gypsy,2882,3216
Hymenoptera,Apidae,Eufriesea mexicana,NW_016922283.1:1600781-1610781,Low_complexity,9796,9840
Hymenoptera,Apidae,Eufriesea mexicana,NW_016935052.1:1996-7159,LTR/Gypsy,1735,2903
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229222.1:647272-657272,Simple_repeat,633,661
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229222.1:647272-657272,Simple_repeat,6083,6128
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229222.1:647272-657272,Low_complexity,8021,8055
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229222.1:647272-657272,Simple_repeat,8695,8729
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229222.1:647272-657272,Simple_repeat,8785,8802
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229222.1:647272-657272,Simple_repeat,8807,8829
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229222.1:647272-657272,Simple_repeat,8844,8900
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229222.1:658172-668172,Simple_repeat,913,948
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229222.1:658172-668172,LTR/Gypsy,1587,1861
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229222.1:658172-668172,Simple_repeat,2389,2436
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229222.1:658172-668172,LTR/Gypsy,2777,4160
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229222.1:658172-668172,Simple_repeat,7802,7847
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229222.1:658172-668172,Simple_repeat,9622,9753
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229231.1:448379-458379,Simple_repeat,6892,7019
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229231.1:448379-458379,LTR/Gypsy,8010,8351
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229231.1:459279-469279,Simple_repeat,564,592
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229231.1:459279-469279,Simple_repeat,3161,3201
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229231.1:459279-469279,Simple_repeat,8565,8606
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229231.1:459279-469279,Simple_repeat,8871,8957
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229251.1:512232-522232,Simple_repeat,1914,1971
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229251.1:512232-522232,Simple_repeat,7545,7572
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229251.1:523129-533129,Simple_repeat,905,936
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229251.1:523129-533129,LTR/Gypsy,1589,1863
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229251.1:523129-533129,Low_complexity,2875,3020
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229251.1:523129-533129,Simple_repeat,3087,3214
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229251.1:523129-533129,Simple_repeat,7372,7417
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229251.1:523129-533129,Simple_repeat,8214,8260
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229252.1:317396-327396,Simple_repeat,3214,3240
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229252.1:317396-327396,Low_complexity,3991,4033
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229252.1:317396-327396,Simple_repeat,5382,5417
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229252.1:317396-327396,Simple_repeat,8800,8860
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229252.1:317396-327396,Simple_repeat,9007,9055
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229252.1:328302-338302,Simple_repeat,458,510
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229252.1:328302-338302,Simple_repeat,527,595
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229252.1:328302-338302,Simple_repeat,805,843
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229252.1:328302-338302,Simple_repeat,1051,1092
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229252.1:328302-338302,Simple_repeat,1623,1662
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229252.1:328302-338302,Simple_repeat,1991,2030
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229252.1:328302-338302,Simple_repeat,2672,2698
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229252.1:328302-338302,Simple_repeat,2699,2720
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229252.1:328302-338302,Simple_repeat,2721,2811
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229252.1:328302-338302,Simple_repeat,2812,2838
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229252.1:328302-338302,Simple_repeat,4364,4501
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229252.1:328302-338302,Simple_repeat,6750,6868
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229252.1:328302-338302,Simple_repeat,8319,8375
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229252.1:328302-338302,Simple_repeat,9891,9927
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229252.1:396892-406892,Simple_repeat,685,735
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229252.1:396892-406892,Simple_repeat,9140,9203
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229252.1:407804-417804,LTR/Gypsy,2716,2960
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229252.1:407804-417804,LTR/Gypsy,3220,3999
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229252.1:407804-417804,Simple_repeat,8377,8440
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229252.1:444592-454592,Simple_repeat,59,77
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229252.1:444592-454592,Simple_repeat,2342,2403
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229252.1:444592-454592,Simple_repeat,2404,2429
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229252.1:444592-454592,LTR/Gypsy,6002,6781
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229252.1:444592-454592,LTR/Gypsy,7041,7285
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229252.1:455504-461608,Simple_repeat,798,861
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229252.1:455504-461608,Simple_repeat,2959,3044
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229252.1:455504-461608,Simple_repeat,3854,3902
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229252.1:455504-461608,Simple_repeat,4828,4895
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229252.1:455504-461608,Simple_repeat,5093,5123
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229252.1:455504-461608,Simple_repeat,5291,5393
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229254.1:115718-125718,Low_complexity,177,358
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229254.1:115718-125718,Simple_repeat,385,418
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229254.1:115718-125718,Simple_repeat,1199,1232
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229254.1:115718-125718,Simple_repeat,1268,1319
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229254.1:115718-125718,Simple_repeat,2236,2266
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229254.1:115718-125718,Simple_repeat,2371,2501
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229254.1:115718-125718,Simple_repeat,4426,4514
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229254.1:115718-125718,Simple_repeat,5105,5192
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229254.1:115718-125718,Low_complexity,5461,5500
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229254.1:115718-125718,Simple_repeat,7914,7942
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229254.1:115718-125718,Simple_repeat,8884,8923
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229254.1:115718-125718,Simple_repeat,9661,9689
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229254.1:126612-136612,Simple_repeat,852,883
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229254.1:126612-136612,LTR/Gypsy,1514,1788
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229254.1:126612-136612,Simple_repeat,2310,2382
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229254.1:126612-136612,LTR/Gypsy,2713,3918
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229254.1:126612-136612,Simple_repeat,6368,6471
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229254.1:126612-136612,Simple_repeat,6472,8621
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229254.1:126612-136612,Simple_repeat,8622,8714
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229254.1:126612-136612,Simple_repeat,9169,9186
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229254.1:126612-136612,Simple_repeat,9187,9213
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229254.1:126612-136612,Low_complexity,9623,9658
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229269.1:357945-367945,Simple_repeat,145,186
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229269.1:357945-367945,Simple_repeat,1996,2068
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229269.1:357945-367945,LTR/Gypsy,6211,7232
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229269.1:357945-367945,Low_complexity,7570,7619
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229269.1:357945-367945,LTR/Gypsy,8147,8398
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229269.1:368845-378845,Simple_repeat,507,541
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229269.1:368845-378845,Simple_repeat,1074,1113
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229269.1:368845-378845,Simple_repeat,1160,1218
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229269.1:368845-378845,Simple_repeat,3504,3540
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229269.1:368845-378845,Simple_repeat,4626,4668
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229269.1:368845-378845,Simple_repeat,6109,6160
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229269.1:368845-378845,Simple_repeat,7915,7997
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229275.1:18705-28705,Simple_repeat,474,497
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229275.1:18705-28705,Simple_repeat,1210,1291
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229275.1:18705-28705,Simple_repeat,1363,1435
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229275.1:18705-28705,Simple_repeat,3116,3175
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229275.1:18705-28705,Simple_repeat,4087,4122
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229275.1:18705-28705,Simple_repeat,4125,4179
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229275.1:18705-28705,Low_complexity,5046,5107
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229275.1:18705-28705,Simple_repeat,5659,5710
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229275.1:18705-28705,Simple_repeat,6703,6750
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229275.1:18705-28705,Simple_repeat,8786,9522
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229275.1:7922-17922,Simple_repeat,4847,4889
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229275.1:7922-17922,LTR/Gypsy,5864,7252
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229275.1:7922-17922,Simple_repeat,7589,7636
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229275.1:7922-17922,Low_complexity,9066,9100
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229290.1:16187-26187,LTR/Gypsy,2716,2960
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229290.1:16187-26187,LTR/Gypsy,3220,3999
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229290.1:16187-26187,Simple_repeat,8377,8440
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229290.1:29975-39975,Simple_repeat,1194,1230
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229290.1:29975-39975,Simple_repeat,1681,1745
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229290.1:29975-39975,LTR/Gypsy,6003,6781
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229290.1:29975-39975,LTR/Gypsy,7041,7285
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229290.1:322259-332259,Simple_repeat,1543,1586
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229290.1:322259-332259,Simple_repeat,6572,6610
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229290.1:322259-332259,LTR/Gypsy,6718,8710
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229290.1:333162-343162,Simple_repeat,908,939
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229290.1:333162-343162,LTR/Pao,5017,5279
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229290.1:333162-343162,LTR/Pao,7223,7363
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229290.1:40791-50791,Simple_repeat,4080,4138
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229290.1:40791-50791,Low_complexity,5000,5034
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229290.1:40791-50791,Low_complexity,5005,5032
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229290.1:40791-50791,Simple_repeat,5084,5122
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229290.1:40791-50791,Low_complexity,8142,8174
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229290.1:5275-15275,Simple_repeat,2,19
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229290.1:5275-15275,Simple_repeat,828,876
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229290.1:5275-15275,Simple_repeat,2070,2100
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229290.1:5275-15275,Simple_repeat,2269,2328
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229290.1:5275-15275,Simple_repeat,3309,3345
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229290.1:5275-15275,Simple_repeat,4501,4539
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229290.1:5275-15275,Simple_repeat,4779,4812
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229290.1:5275-15275,Simple_repeat,5153,5235
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229290.1:5275-15275,Simple_repeat,5641,5684
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229290.1:5275-15275,Simple_repeat,6169,6274
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229290.1:5275-15275,Simple_repeat,6336,6434
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229290.1:5275-15275,Low_complexity,6753,6796
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229290.1:5275-15275,Simple_repeat,7099,7138
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229290.1:5275-15275,Simple_repeat,9142,9205
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229304.1:113107-123107,Low_complexity,376,404
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229304.1:113107-123107,Simple_repeat,3267,3299
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229304.1:113107-123107,Simple_repeat,5306,5391
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229304.1:113107-123107,LTR/Gypsy,5642,6904
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229304.1:123923-133923,Low_complexity,824,869
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229304.1:123923-133923,Simple_repeat,2141,2186
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229304.1:123923-133923,Simple_repeat,5076,5121
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229304.1:123923-133923,Simple_repeat,6505,6531
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229304.1:123923-133923,Simple_repeat,6619,6659
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229304.1:123923-133923,Simple_repeat,6960,7022
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229304.1:123923-133923,Simple_repeat,7312,7345
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229304.1:123923-133923,Simple_repeat,8443,8548
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229304.1:123923-133923,Simple_repeat,8513,8568
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229304.1:123923-133923,Simple_repeat,9409,9437
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229304.1:123923-133923,Simple_repeat,9561,9629
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229304.1:123923-133923,Simple_repeat,9805,9869
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229320.1:149189-159189,Low_complexity,6546,6623
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229320.1:149189-159189,Simple_repeat,8518,8537
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229320.1:160050-170050,Simple_repeat,4154,4188
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229320.1:160050-170050,LTR/Gypsy,4338,4418
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229320.1:160050-170050,LTR/Gypsy,5273,6490
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229320.1:160050-170050,Low_complexity,8947,8982
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229320.1:160050-170050,Low_complexity,9859,9903
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229320.1:218590-228590,Simple_repeat,214,261
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229320.1:218590-228590,Simple_repeat,264,304
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229320.1:218590-228590,Simple_repeat,441,478
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229320.1:218590-228590,Simple_repeat,774,820
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229320.1:218590-228590,Simple_repeat,1606,1645
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229320.1:218590-228590,Simple_repeat,1994,2021
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229320.1:218590-228590,Simple_repeat,4749,4798
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229320.1:218590-228590,Simple_repeat,7178,7231
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229320.1:218590-228590,Simple_repeat,8615,8673
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229320.1:218590-228590,Simple_repeat,9544,9571
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229320.1:227847-237847,Simple_repeat,287,314
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229320.1:229496-239496,Simple_repeat,9686,9713
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229320.1:237087-247087,Simple_repeat,2095,2122
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229320.1:237087-247087,Low_complexity,3751,3821
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229320.1:237087-247087,Simple_repeat,4099,4157
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229320.1:237087-247087,Simple_repeat,6869,6916
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229320.1:237087-247087,Simple_repeat,9140,9203
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229320.1:238753-248753,Simple_repeat,429,456
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229320.1:238753-248753,Low_complexity,2085,2155
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229320.1:238753-248753,Simple_repeat,2433,2491
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229320.1:238753-248753,Simple_repeat,5203,5250
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229320.1:238753-248753,Simple_repeat,7474,7537
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229320.1:238753-248753,Simple_repeat,9767,9830
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229320.1:247999-257999,Simple_repeat,521,584
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229320.1:247999-257999,LTR/Gypsy,4883,5127
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229320.1:247999-257999,LTR/Gypsy,5387,6166
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229320.1:267837-277837,Simple_repeat,1562,1625
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229320.1:267837-277837,LTR/Gypsy,6002,6955
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229320.1:267837-277837,LTR/Gypsy,7041,7285
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229320.1:277699-287699,Simple_repeat,1848,1911
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229320.1:277699-287699,Simple_repeat,6459,6498
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229320.1:277699-287699,Simple_repeat,7202,7297
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229320.1:277699-287699,Simple_repeat,7296,7324
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229320.1:278749-288749,Simple_repeat,798,861
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229320.1:278749-288749,Simple_repeat,5409,5448
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229320.1:278749-288749,Simple_repeat,6152,6247
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229320.1:278749-288749,Simple_repeat,6246,6274
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229320.1:288560-297076,Simple_repeat,1102,1136
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229320.1:288560-297076,Simple_repeat,4154,4188
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229320.1:288560-297076,LTR/Gypsy,4338,4418
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229320.1:288560-297076,LTR/Gypsy,5272,6489
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229332.1:101401-111401,LTR/Gypsy,391,1170
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229332.1:101401-111401,LTR/Gypsy,1430,1674
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229332.1:101401-111401,Simple_repeat,6093,6156
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229332.1:101401-111401,LTR/Gypsy,7045,7289
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229332.1:106702-116702,Simple_repeat,792,855
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229332.1:106702-116702,LTR/Gypsy,1744,1988
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229332.1:106702-116702,Simple_repeat,6408,6471
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229332.1:112313-122313,Simple_repeat,797,860
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229332.1:112313-122313,Simple_repeat,4800,4819
Hymenoptera,Formicidae,Camponotus floridanus,NW_020229332.1:112313-122313,Simple_repeat,6747,6834
