NCBI-Access,Taxonomy-Access,Organism,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species
CAC5379943.1,42192,Mytilus coruscus,Eukaryota,Metazoa,Mollusca,Bivalvia,Mytiloida,Mytilidae,Mytilus,unknown
CAC5380614.1,42192,Mytilus coruscus,Eukaryota,Metazoa,Mollusca,Bivalvia,Mytiloida,Mytilidae,Mytilus,unknown
CAC5387037.1,42192,Mytilus coruscus,Eukaryota,Metazoa,Mollusca,Bivalvia,Mytiloida,Mytilidae,Mytilus,unknown
CAC5392993.1,42192,Mytilus coruscus,Eukaryota,Metazoa,Mollusca,Bivalvia,Mytiloida,Mytilidae,Mytilus,unknown
CAC5400818.1,42192,Mytilus coruscus,Eukaryota,Metazoa,Mollusca,Bivalvia,Mytiloida,Mytilidae,Mytilus,unknown
CAC5407359.1,42192,Mytilus coruscus,Eukaryota,Metazoa,Mollusca,Bivalvia,Mytiloida,Mytilidae,Mytilus,unknown
CAC5410728.1,42192,Mytilus coruscus,Eukaryota,Metazoa,Mollusca,Bivalvia,Mytiloida,Mytilidae,Mytilus,unknown
CAC5411633.1,42192,Mytilus coruscus,Eukaryota,Metazoa,Mollusca,Bivalvia,Mytiloida,Mytilidae,Mytilus,unknown
CAC5413982.1,42192,Mytilus coruscus,Eukaryota,Metazoa,Mollusca,Bivalvia,Mytiloida,Mytilidae,Mytilus,unknown
CAC5415176.1,42192,Mytilus coruscus,Eukaryota,Metazoa,Mollusca,Bivalvia,Mytiloida,Mytilidae,Mytilus,unknown
CAC5416621.1,42192,Mytilus coruscus,Eukaryota,Metazoa,Mollusca,Bivalvia,Mytiloida,Mytilidae,Mytilus,unknown
CAC5416622.1,42192,Mytilus coruscus,Eukaryota,Metazoa,Mollusca,Bivalvia,Mytiloida,Mytilidae,Mytilus,unknown
CAD6210492.1,51543,Cotesia congregata,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Braconidae,Cotesia,unknown
CAD6216035.1,51543,Cotesia congregata,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Braconidae,Cotesia,unknown
CAD6223579.1,51543,Cotesia congregata,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Braconidae,Cotesia,unknown
CAD6225160.1,51543,Cotesia congregata,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Braconidae,Cotesia,unknown
CAD6226375.1,51543,Cotesia congregata,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Braconidae,Cotesia,unknown
CAD6226584.1,51543,Cotesia congregata,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Braconidae,Cotesia,unknown
CAD6227315.1,51543,Cotesia congregata,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Braconidae,Cotesia,unknown
CAD6234313.1,51543,Cotesia congregata,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Braconidae,Cotesia,unknown
CAD6234315.1,51543,Cotesia congregata,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Braconidae,Cotesia,unknown
CAD6236783.1,51543,Cotesia congregata,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Braconidae,Cotesia,unknown
CAD6236937.1,51543,Cotesia congregata,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Braconidae,Cotesia,unknown
CAD6241240.1,51543,Cotesia congregata,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Braconidae,Cotesia,unknown
CAD6243041.1,51543,Cotesia congregata,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Braconidae,Cotesia,unknown
CAK40766.1,5061,Aspergillus niger,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,unknown
CDW53403.1,36087,Trichuris trichiura,Eukaryota,Metazoa,Nematoda,Enoplea,Trichinellida,Trichuridae,Trichuris,unknown
CRK88789.1,568069,Clunio marinus,Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Chironomidae,Clunio,unknown
EFA07100.1,7070,Tribolium castaneum,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Tribolium,unknown
EFA11706.2,7070,Tribolium castaneum,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Tribolium,unknown
EFA13278.2,7070,Tribolium castaneum,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Tribolium,unknown
EFN65203.1,104421,Camponotus floridanus,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,unknown
EFN68983.1,104421,Camponotus floridanus,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,unknown
EFN77719.1,610380,Harpegnathos saltator,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Harpegnathos,unknown
EFN81500.1,610380,Harpegnathos saltator,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Harpegnathos,unknown
EFN83910.1,610380,Harpegnathos saltator,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Harpegnathos,unknown
EFN88676.1,610380,Harpegnathos saltator,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Harpegnathos,unknown
EFN89572.1,610380,Harpegnathos saltator,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Harpegnathos,unknown
EGI58576.1,103372,Acromyrmex echinatior,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Acromyrmex,unknown
EGI67989.1,103372,Acromyrmex echinatior,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Acromyrmex,unknown
ELT89080.1,283909,Capitella teleta,Eukaryota,Metazoa,Annelida,Polychaeta,unknown,Capitellidae,Capitella,unknown
ELU03792.1,283909,Capitella teleta,Eukaryota,Metazoa,Annelida,Polychaeta,unknown,Capitellidae,Capitella,unknown
ELU18201.1,283909,Capitella teleta,Eukaryota,Metazoa,Annelida,Polychaeta,unknown,Capitellidae,Capitella,unknown
EYB88125.1,53326,Ancylostoma ceylanicum,Eukaryota,Metazoa,Nematoda,Chromadorea,Strongylida,Ancylostomatidae,Ancylostoma,unknown
EYC23204.1,53326,Ancylostoma ceylanicum,Eukaryota,Metazoa,Nematoda,Chromadorea,Strongylida,Ancylostomatidae,Ancylostoma,unknown
EZA46687.1,2015173,Ooceraea biroi,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Ooceraea,unknown
EZA46815.1,2015173,Ooceraea biroi,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Ooceraea,unknown
EZA46988.1,2015173,Ooceraea biroi,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Ooceraea,unknown
EZA48478.1,2015173,Ooceraea biroi,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Ooceraea,unknown
EZA48616.1,2015173,Ooceraea biroi,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Ooceraea,unknown
EZA49469.1,2015173,Ooceraea biroi,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Ooceraea,unknown
EZA49528.1,2015173,Ooceraea biroi,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Ooceraea,unknown
EZA50981.1,2015173,Ooceraea biroi,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Ooceraea,unknown
EZA52949.1,2015173,Ooceraea biroi,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Ooceraea,unknown
EZA54519.1,2015173,Ooceraea biroi,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Ooceraea,unknown
EZA59596.1,2015173,Ooceraea biroi,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Ooceraea,unknown
EZA60625.1,2015173,Ooceraea biroi,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Ooceraea,unknown
GFG32921.1,36987,Coptotermes formosanus,Eukaryota,Metazoa,Arthropoda,Insecta,Blattodea,Rhinotermitidae,Coptotermes,unknown
GFG35595.1,36987,Coptotermes formosanus,Eukaryota,Metazoa,Arthropoda,Insecta,Blattodea,Rhinotermitidae,Coptotermes,unknown
HBK71150.1,1871037,Flavobacteriaceae bacterium,Bacteria,unknown,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,unknown,unknown
KAE8739346.1,133901,Frankliniella occidentalis,Eukaryota,Metazoa,Arthropoda,Insecta,Thysanoptera,Thripidae,Frankliniella,unknown
KAE9521351.1,307491,Aphis glycines,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Aphididae,Aphis,unknown
KAE9522131.1,307491,Aphis glycines,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Aphididae,Aphis,unknown
KAE9522248.1,307491,Aphis glycines,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Aphididae,Aphis,unknown
KAE9522653.1,307491,Aphis glycines,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Aphididae,Aphis,unknown
KAE9526247.1,307491,Aphis glycines,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Aphididae,Aphis,unknown
KAE9529979.1,307491,Aphis glycines,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Aphididae,Aphis,unknown
KAE9530480.1,307491,Aphis glycines,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Aphididae,Aphis,unknown
KAE9533437.1,307491,Aphis glycines,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Aphididae,Aphis,unknown
KAE9534117.1,307491,Aphis glycines,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Aphididae,Aphis,unknown
KAE9536618.1,307491,Aphis glycines,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Aphididae,Aphis,unknown
KAE9538923.1,307491,Aphis glycines,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Aphididae,Aphis,unknown
KAE9542373.1,307491,Aphis glycines,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Aphididae,Aphis,unknown
KAE9543571.1,307491,Aphis glycines,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Aphididae,Aphis,unknown
KAE9544226.1,307491,Aphis glycines,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Aphididae,Aphis,unknown
KAF0310250.1,1232801,Amphibalanus amphitrite,Eukaryota,Metazoa,Arthropoda,Thecostraca,Balanomorpha,Balanidae,Amphibalanus,unknown
KAF0314207.1,1232801,Amphibalanus amphitrite,Eukaryota,Metazoa,Arthropoda,Thecostraca,Balanomorpha,Balanidae,Amphibalanus,unknown
KAF0685470.1,307492,Aphis craccivora,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Aphididae,Aphis,unknown
KAF0693528.1,307492,Aphis craccivora,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Aphididae,Aphis,unknown
KAF0705686.1,307492,Aphis craccivora,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Aphididae,Aphis,unknown
KAF0713825.1,307492,Aphis craccivora,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Aphididae,Aphis,unknown
KAF0725219.1,307492,Aphis craccivora,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Aphididae,Aphis,unknown
KAF0725220.1,307492,Aphis craccivora,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Aphididae,Aphis,unknown
KAF0737801.1,307492,Aphis craccivora,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Aphididae,Aphis,unknown
KAF0756823.1,307492,Aphis craccivora,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Aphididae,Aphis,unknown
KAF2884256.1,2038154,Ignelater luminosus,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Elateridae,Ignelater,unknown
KAF5287692.1,370605,Lamprigera yunnana,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Lampyridae,Lamprigera,unknown
KAF5289387.1,370605,Lamprigera yunnana,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Lampyridae,Lamprigera,unknown
KAF5302046.1,370605,Lamprigera yunnana,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Lampyridae,Lamprigera,unknown
KAF5308240.1,2069292,Abscondita terminalis,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Lampyridae,Abscondita,unknown
KAF6197291.1,248454,Apolygus lucorum,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Miridae,Apolygus,unknown
KAF6198434.1,248454,Apolygus lucorum,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Miridae,Apolygus,unknown
KAF6210072.1,248454,Apolygus lucorum,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Miridae,Apolygus,unknown
KAF6210263.1,248454,Apolygus lucorum,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Miridae,Apolygus,unknown
KAF6214235.1,248454,Apolygus lucorum,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Miridae,Apolygus,unknown
KAF6214241.1,248454,Apolygus lucorum,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Miridae,Apolygus,unknown
KAF6215698.1,248454,Apolygus lucorum,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Miridae,Apolygus,unknown
KAF6216999.1,248454,Apolygus lucorum,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Miridae,Apolygus,unknown
KAF6731976.1,30732,Oryzias melastigma,Eukaryota,Metazoa,Chordata,Actinopteri,Beloniformes,Adrianichthyidae,Oryzias,unknown
KAF9800206.1,7108,Spodoptera frugiperda,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Spodoptera,unknown
KAG0415859.1,34615,Ixodes persulcatus,Eukaryota,Metazoa,Arthropoda,Arachnida,Ixodida,Ixodidae,Ixodes,unknown
KAG0444529.1,34615,Ixodes persulcatus,Eukaryota,Metazoa,Arthropoda,Arachnida,Ixodida,Ixodidae,Ixodes,unknown
KAG0720648.1,41210,Chionoecetes opilio,Eukaryota,Metazoa,Arthropoda,Malacostraca,Decapoda,Majidae,Chionoecetes,unknown
KAG1684827.1,424472,Nymphon striatum,Eukaryota,Metazoa,Arthropoda,Pycnogonida,Pantopoda,Nymphonidae,Nymphon,unknown
KAG1684829.1,424472,Nymphon striatum,Eukaryota,Metazoa,Arthropoda,Pycnogonida,Pantopoda,Nymphonidae,Nymphon,unknown
KDR14400.1,136037,Zootermopsis nevadensis,Eukaryota,Metazoa,Arthropoda,Insecta,Blattodea,Termopsidae,Zootermopsis,unknown
KMQ83671.1,67767,Lasius niger,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Lasius,unknown
KMQ83789.1,67767,Lasius niger,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Lasius,unknown
KMQ84581.1,67767,Lasius niger,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Lasius,unknown
KMQ84672.1,67767,Lasius niger,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Lasius,unknown
KMQ84673.1,67767,Lasius niger,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Lasius,unknown
KMQ84765.1,67767,Lasius niger,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Lasius,unknown
KMQ85221.1,67767,Lasius niger,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Lasius,unknown
KMQ85222.1,67767,Lasius niger,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Lasius,unknown
KMQ85768.1,67767,Lasius niger,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Lasius,unknown
KMQ86891.1,67767,Lasius niger,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Lasius,unknown
KMQ87336.1,67767,Lasius niger,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Lasius,unknown
KMQ87930.1,67767,Lasius niger,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Lasius,unknown
KMQ88976.1,67767,Lasius niger,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Lasius,unknown
KMQ89175.1,67767,Lasius niger,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Lasius,unknown
KMQ89578.1,67767,Lasius niger,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Lasius,unknown
KMQ89865.1,67767,Lasius niger,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Lasius,unknown
KMQ90429.1,67767,Lasius niger,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Lasius,unknown
KMQ90430.1,67767,Lasius niger,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Lasius,unknown
KMQ92400.1,67767,Lasius niger,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Lasius,unknown
KMQ94837.1,67767,Lasius niger,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Lasius,unknown
KOC58623.1,597456,Habropoda laboriosa,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Apidae,Habropoda,unknown
KOC58642.1,597456,Habropoda laboriosa,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Apidae,Habropoda,unknown
KOC58647.1,597456,Habropoda laboriosa,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Apidae,Habropoda,unknown
KOC58667.1,597456,Habropoda laboriosa,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Apidae,Habropoda,unknown
KOC58693.1,597456,Habropoda laboriosa,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Apidae,Habropoda,unknown
KOC58953.1,597456,Habropoda laboriosa,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Apidae,Habropoda,unknown
KOC58954.1,597456,Habropoda laboriosa,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Apidae,Habropoda,unknown
KOC58986.1,597456,Habropoda laboriosa,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Apidae,Habropoda,unknown
KOC59900.1,597456,Habropoda laboriosa,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Apidae,Habropoda,unknown
KOC60715.1,597456,Habropoda laboriosa,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Apidae,Habropoda,unknown
KOC70146.1,597456,Habropoda laboriosa,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Apidae,Habropoda,unknown
KOC70172.1,597456,Habropoda laboriosa,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Apidae,Habropoda,unknown
KOC71219.1,597456,Habropoda laboriosa,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Apidae,Habropoda,unknown
KXZ75539.1,7070,Tribolium castaneum,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Tribolium,unknown
KYB24698.1,7070,Tribolium castaneum,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Tribolium,unknown
KYB27733.1,7070,Tribolium castaneum,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Tribolium,unknown
KYM93373.1,456900,Cyphomyrmex costatus,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Cyphomyrmex,unknown
KYM93388.1,456900,Cyphomyrmex costatus,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Cyphomyrmex,unknown
KYM96588.1,456900,Cyphomyrmex costatus,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Cyphomyrmex,unknown
KYM96840.1,456900,Cyphomyrmex costatus,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Cyphomyrmex,unknown
KYM97148.1,456900,Cyphomyrmex costatus,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Cyphomyrmex,unknown
KYM98400.1,456900,Cyphomyrmex costatus,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Cyphomyrmex,unknown
KYM99943.1,456900,Cyphomyrmex costatus,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Cyphomyrmex,unknown
KYN00131.1,456900,Cyphomyrmex costatus,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Cyphomyrmex,unknown
KYN00578.1,456900,Cyphomyrmex costatus,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Cyphomyrmex,unknown
KYN00581.1,456900,Cyphomyrmex costatus,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Cyphomyrmex,unknown
KYN00614.1,456900,Cyphomyrmex costatus,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Cyphomyrmex,unknown
KYN01415.1,456900,Cyphomyrmex costatus,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Cyphomyrmex,unknown
KYN01911.1,456900,Cyphomyrmex costatus,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Cyphomyrmex,unknown
KYN02258.1,456900,Cyphomyrmex costatus,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Cyphomyrmex,unknown
KYN02601.1,456900,Cyphomyrmex costatus,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Cyphomyrmex,unknown
KYN05855.1,456900,Cyphomyrmex costatus,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Cyphomyrmex,unknown
KYN07828.1,456900,Cyphomyrmex costatus,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Cyphomyrmex,unknown
KYN07861.1,456900,Cyphomyrmex costatus,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Cyphomyrmex,unknown
KYN08239.1,456900,Cyphomyrmex costatus,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Cyphomyrmex,unknown
KYN09194.1,471704,Trachymyrmex cornetzi,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Trachymyrmex,unknown
KYN12084.1,471704,Trachymyrmex cornetzi,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Trachymyrmex,unknown
KYN12133.1,471704,Trachymyrmex cornetzi,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Trachymyrmex,unknown
KYN12279.1,471704,Trachymyrmex cornetzi,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Trachymyrmex,unknown
KYN13162.1,471704,Trachymyrmex cornetzi,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Trachymyrmex,unknown
KYN15178.1,471704,Trachymyrmex cornetzi,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Trachymyrmex,unknown
KYN15930.1,471704,Trachymyrmex cornetzi,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Trachymyrmex,unknown
KYN16539.1,471704,Trachymyrmex cornetzi,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Trachymyrmex,unknown
KYN17049.1,471704,Trachymyrmex cornetzi,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Trachymyrmex,unknown
