DATASET_SIMPLEBAR
#In simple bar charts, each ID is associated to a single numeric value which is displayed as a bar outside the tree_
#lines starting with a hash are comments and ignored during parsing

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA)_This separator must be used throughout this file_
#SEPARATOR TAB
#SEPARATOR SPACE
SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL,Genome Length
QMP82137_1_1_rdrp_Hemipteran_chu_related_virus_OKIAV139,3325
QPL15303_1_1_rdrp_Hymenopteran_chu_related_virus_OKIAV146,6877
QMP82337_1_1_rdrp_Coleopteran_chu_related_virus_OKIAV151,9873
QMP82271_1_1_rdrp_Phasmatodean_chu_related_virus_OKIAV118,5657
QPL15384_1_2_rdrp_Hymenopteran_chu_related_virus_OKIAV122,5882
QMP82316_1_1_rdrp_Grylloblattodean_chu_related_virus_OKIAV120,5993
QPL15312_1_1_rdrp_Orthopteran_chu_related_virus_OKIAV152,9477
QPB73971_1_1_rdrp_Hymenopteran_chu_related_virus_OKIAV147,11601
QMP82284_1_1_rdrp_Phasmatodean_chu_related_virus_OKIAV1344,1363
QPB73967_1_1_rdrp_Hymenopteran_chu_related_virus_OKIAV125,7530
QMP82301_1_1_rdrp_Dermapteran_chu_related_virus_OKIAV142,10645
QPL15325_1_3_rdrp_Hymenopteran_chu_related_virus_OKIAV124,13339
QDB74145_1_1_rdrp_Bat_chuvirus_isolate_KSA431,762
QQP18758_1_1_rdrp_Soybean_thrips_chu_like_virus_1__Segment_L_,9649
QGW51122_1_1_rdrp_Karukera_tick_virus,11177
QGW51125_1_1_rdrp_Wuhan_tick_virus_2,11393
QJD26154_1_1_rdrp_Schistocephalus_solidus_jingchuvirus,6863
QHX39760_1_3_rdrp_Herr_Frank_virus_1,10718
API61887_1_1_rdrp_Chuvirus_Mos8Chu0,6844
QBP37027_1_1_polyprotein_Lampyris_noctiluca_chuvirus_like_virus_1,11318
AWA82254_1_5_hypothetical5_Mogami_virus,10333
APG78716_1_rdrp_Hubei_chuvirus_like_virus_1,10741
AVM87272_1_rdrp_Guangdong_red_banded_snake_chuvirus_like_virus,10625
AVM87278_1_rdrp_Wenling_fish_chuvirus_like_virus,10407
AVM87275_1_rdrp_Wenling_fish_chu_like_virus,10385
