DATASET_SIMPLEBAR
#In simple bar charts, each ID is associated to a single numeric value which is displayed as a bar outside the tree_
#lines starting with a hash are comments and ignored during parsing

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA)_This separator must be used throughout this file_
#SEPARATOR TAB
#SEPARATOR SPACE
SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL,Number of Segments
QMP82337_1_1_rdrp_Coleopteran_chu_related_virus_OKIAV151,2
QMP82271_1_1_rdrp_Phasmatodean_chu_related_virus_OKIAV118,1
QPL15384_1_2_rdrp_Hymenopteran_chu_related_virus_OKIAV122,1
QMP82316_1_1_rdrp_Grylloblattodean_chu_related_virus_OKIAV120,1
QPL15312_1_1_rdrp_Orthopteran_chu_related_virus_OKIAV152,2
QPB73971_1_1_rdrp_Hymenopteran_chu_related_virus_OKIAV147,2
QMP82284_1_1_rdrp_Phasmatodean_chu_related_virus_OKIAV1344,1
QPB73967_1_1_rdrp_Hymenopteran_chu_related_virus_OKIAV125,1
QMP82301_1_1_rdrp_Dermapteran_chu_related_virus_OKIAV142,2
QPL15325_1_3_rdrp_Hymenopteran_chu_related_virus_OKIAV124,1
QDB74145_1_1_rdrp_Bat_chuvirus_isolate_KSA431,1
QQP18758_1_1_rdrp_Soybean_thrips_chu_like_virus_1__Segment_L_,2
QGW51122_1_1_rdrp_Karukera_tick_virus,1
QGW51125_1_1_rdrp_Wuhan_tick_virus_2,1
QJD26154_1_1_rdrp_Schistocephalus_solidus_jingchuvirus,1
QHX39760_1_3_rdrp_Herr_Frank_virus_1,1
API61887_1_1_rdrp_Chuvirus_Mos8Chu0,1
QBP37027_1_1_polyprotein_Lampyris_noctiluca_chuvirus_like_virus_1,2
AWA82254_1_5_hypothetical5_Mogami_virus,1
APG78716_1_rdrp_Hubei_chuvirus_like_virus_1,2
AVM87272_1_rdrp_Guangdong_red_banded_snake_chuvirus_like_virus,1
AVM87278_1_rdrp_Wenling_fish_chuvirus_like_virus,1
AVM87275_1_rdrp_Wenling_fish_chu_like_virus,1
